# Scalar ASCII output created by CarpetIOScalar
# created on nid08350 by bernuzzi on Sep 07 2016 at 00:20:58-0500
# parameter filename: "parfile.par"
# Build ID: build-thc-h2ologin3.ncsa.illinois.edu-bernuzzi-2016.05.09-11.06.04-43776
# Simulation ID: run-parfile-nid08350-bernuzzi-2016.09.07-05.02.45-30218
# Run ID: run-parfile-nid08350-bernuzzi-2016.09.07-05.02.45-30218
#
# THC_CORE::dens (dens)
# 1:iteration 2:time 3:data
0 0 3.14831637446511e-10
256 2.4 3.14831637446862e-10
512 4.8 3.14831637448154e-10
768 7.2 3.14831637450113e-10
1024 9.6 3.1483163745248e-10
1280 12 3.14831637455203e-10
1536 14.4 3.14831637458585e-10
1792 16.8 3.14831637462688e-10
2048 19.2 3.14831637466327e-10
2304 21.6 3.14831637470106e-10
2560 24 3.1483163747389e-10
2816 26.4 3.14831637477768e-10
3072 28.8 3.1483163748188e-10
3328 31.2 3.14831637486326e-10
3584 33.6 3.14831637490935e-10
3840 36 3.14831637495553e-10
4096 38.4 3.14831637500472e-10
4352 40.8 3.14831637505739e-10
4608 43.2 3.14831637511259e-10
4864 45.6 3.14831637517092e-10
5120 48 3.14831637523233e-10
5376 50.4 3.14831637529669e-10
5632 52.8 3.14831637536322e-10
5888 55.2 3.14831637543156e-10
6144 57.6 3.14831637550166e-10
6400 60 3.14831637557377e-10
6656 62.4 3.14831637564739e-10
6912 64.8 3.14831637572055e-10
7168 67.2 3.14831637579836e-10
7424 69.6 3.14831637587174e-10
7680 72 3.14831637595082e-10
7936 74.4 3.14831637603142e-10
8192 76.8 3.14831637611329e-10
8448 79.2 3.14831637619259e-10
8704 81.6 3.14831637627785e-10
8960 84 3.14831637635762e-10
9216 86.4 3.14831637643876e-10
9472 88.8 3.14831637649767e-10
9728 91.2 3.14831637658803e-10
9984 93.6 3.14831637667623e-10
10240 96 3.14831637677352e-10
10496 98.4 3.14831637686614e-10
10752 100.8 3.14831637695112e-10
11008 103.2 3.14831637703489e-10
11264 105.6 3.14831637711636e-10
11520 108 3.14831637719951e-10
11776 110.4 3.14831637728154e-10
12032 112.8 3.14831637738463e-10
12288 115.2 3.14831637749535e-10
12544 117.6 3.14831637758968e-10
12800 120 3.14831637769592e-10
13056 122.4 3.14831637778186e-10
13312 124.8 3.1483163778784e-10
13568 127.2 3.14831637796917e-10
13824 129.6 3.14831637806423e-10
14080 132 3.14831637817285e-10
14336 134.4 3.14831637826875e-10
14592 136.8 3.14831637840515e-10
14848 139.2 3.14831637857508e-10
15104 141.6 3.14831637865791e-10
15360 144 3.14831637876381e-10
15616 146.4 3.14831637885163e-10
15872 148.8 3.14831637894057e-10
16128 151.2 3.14831637904142e-10
16384 153.6 3.14831637915211e-10
16640 156 3.14831637933143e-10
16896 158.4 3.14831637943502e-10
17152 160.8 3.14831637952459e-10
17408 163.2 3.14831637961303e-10
17664 165.6 3.14831637970887e-10
17920 168 3.14831637987148e-10
18176 170.4 3.14831637995893e-10
18432 172.8 3.14831638004795e-10
18688 175.2 3.14831638013534e-10
18944 177.6 3.14831638024309e-10
19200 180 3.14831638033023e-10
19456 182.4 3.14831638043697e-10
19712 184.8 3.14831638060894e-10
19968 187.2 3.14831638086791e-10
20224 189.6 3.14831638098236e-10
20480 192 3.1483163811034e-10
20736 194.4 3.14831638121368e-10
20992 196.8 3.14831638135356e-10
21248 199.2 3.148316381487e-10
21504 201.6 3.14831638162952e-10
21760 204 3.14831638173113e-10
22016 206.4 3.1483163818186e-10
22272 208.8 3.1483163819083e-10
22528 211.2 3.14831638199994e-10
22784 213.6 3.14831638209725e-10
23040 216 3.14831638218849e-10
23296 218.4 3.14831638228484e-10
23552 220.8 3.14831638237284e-10
23808 223.2 3.14831638246814e-10
24064 225.6 3.14831638273455e-10
24320 228 3.14831638300418e-10
24576 230.4 3.14831638315032e-10
24832 232.8 3.14831638324782e-10
25088 235.2 3.14831638327924e-10
25344 237.6 3.14831638339349e-10
25600 240 3.14831638341566e-10
25856 242.4 3.14831638349098e-10
26112 244.8 3.14831638358351e-10
26368 247.2 3.14831638367336e-10
26624 249.6 3.1483163838003e-10
26880 252 3.14831638391605e-10
27136 254.4 3.14831638407054e-10
27392 256.8 3.14831638415605e-10
27648 259.2 3.14831638422157e-10
27904 261.6 3.14831638431882e-10
28160 264 3.14831638453733e-10
28416 266.4 3.14831638473697e-10
28672 268.8 3.14831638480026e-10
28928 271.2 3.14831638492638e-10
29184 273.6 3.14831638505516e-10
29440 276 3.14831638516601e-10
29696 278.4 3.14831638530442e-10
29952 280.8 3.14831638545936e-10
30208 283.2 3.14831638557108e-10
30464 285.6 3.14831638568398e-10
30720 288 3.14831638583383e-10
30976 290.4 3.14831638597783e-10
31232 292.8 3.14831638611611e-10
31488 295.2 3.14831638622453e-10
# Scalar ASCII output created by CarpetIOScalar
# created on nid04912 by bernuzzi on Sep 09 2016 at 14:54:42-0500
# parameter filename: "parfile.par"
# Build ID: build-thc-h2ologin3.ncsa.illinois.edu-bernuzzi-2016.05.09-11.06.04-43776
# Simulation ID: run-parfile-nid04912-bernuzzi-2016.09.09-19.35.17-32516
# Run ID: run-parfile-nid04912-bernuzzi-2016.09.09-19.35.17-32516
#
# THC_CORE::dens (dens)
# 1:iteration 2:time 3:data
31744 297.6 3.14831638632101e-10
32000 300 3.14831638646658e-10
32256 302.4 3.14831638654979e-10
32512 304.8 3.14831638662532e-10
32768 307.2 3.14831638674663e-10
33024 309.6 3.14831638683301e-10
33280 312 3.14831638691484e-10
33536 314.4 3.14831638700104e-10
33792 316.8 3.14831638711311e-10
34048 319.2 3.14831638721069e-10
34304 321.6 3.14831638738849e-10
34560 324 3.14831638747058e-10
34816 326.4 3.14831638756244e-10
35072 328.8 3.14831638765655e-10
35328 331.2 3.14831638775719e-10
35584 333.6 3.14831638783977e-10
35840 336 3.14831638795385e-10
36096 338.4 3.1483163880458e-10
36352 340.8 3.14831638814393e-10
36608 343.2 3.14831638823329e-10
36864 345.6 3.14831638840452e-10
37120 348 3.14831638850252e-10
37376 350.4 3.14831638858632e-10
37632 352.8 3.14831638867111e-10
37888 355.2 3.14831638875103e-10
38144 357.6 3.14831638884121e-10
38400 360 3.14831638898578e-10
38656 362.4 3.14831638907796e-10
38912 364.8 3.14831638916952e-10
39168 367.2 3.14831638925992e-10
39424 369.6 3.14831638935838e-10
39680 372 3.14831638947268e-10
39936 374.4 3.14831638959438e-10
