# Scalar ASCII output created by CarpetIOScalar
# created on nid08350 by bernuzzi on Sep 07 2016 at 00:20:58-0500
# parameter filename: "parfile.par"
# Build ID: build-thc-h2ologin3.ncsa.illinois.edu-bernuzzi-2016.05.09-11.06.04-43776
# Simulation ID: run-parfile-nid08350-bernuzzi-2016.09.07-05.02.45-30218
# Run ID: run-parfile-nid08350-bernuzzi-2016.09.07-05.02.45-30218
#
# BNSANALYSIS::dens_unbnd (dens_unbnd)
# 1:iteration 2:time 3:data
0 0 0
256 2.4 3.13685592601698e-20
512 4.8 4.76818713546007e-20
768 7.2 5.46099709877765e-20
1024 9.6 5.95875262021805e-20
1280 12 6.47511407816259e-20
1536 14.4 7.62647309569143e-20
1792 16.8 8.18300536335739e-20
2048 19.2 8.43252971141839e-20
2304 21.6 8.69357863369467e-20
2560 24 8.84733146603357e-20
2816 26.4 8.8403042007189e-20
3072 28.8 8.97916136435245e-20
3328 31.2 8.6764284596591e-20
3584 33.6 8.26714750060449e-20
3840 36 7.70356675710591e-20
4096 38.4 7.22951591304772e-20
4352 40.8 6.96907658346935e-20
4608 43.2 8.74413025239873e-20
4864 45.6 1.14700005888544e-19
5120 48 1.47356617734361e-19
5376 50.4 1.78798086870377e-19
5632 52.8 2.05121406790951e-19
5888 55.2 2.27165530697006e-19
6144 57.6 2.44400530456887e-19
6400 60 2.57585864842521e-19
6656 62.4 2.66443450489334e-19
6912 64.8 2.73631816198248e-19
7168 67.2 2.77828844658598e-19
7424 69.6 2.80976056667887e-19
7680 72 2.83329373229225e-19
7936 74.4 2.86419790527558e-19
8192 76.8 2.97334909610099e-19
8448 79.2 2.93517601613021e-19
8704 81.6 2.97157613534986e-19
8960 84 2.99556360542696e-19
9216 86.4 3.01842715284274e-19
9472 88.8 3.04700278848735e-19
9728 91.2 3.04751195015577e-19
9984 93.6 3.05055652407363e-19
10240 96 3.04608804509782e-19
10496 98.4 3.03123003572551e-19
10752 100.8 3.01487830100043e-19
11008 103.2 2.99547044156812e-19
11264 105.6 2.97182225904799e-19
11520 108 2.92937118629256e-19
11776 110.4 2.87917944555447e-19
12032 112.8 2.80403405910676e-19
