# Scalar ASCII output created by CarpetIOScalar
# created on nid08350 by bernuzzi on Sep 07 2016 at 00:20:58-0500
# parameter filename: "parfile.par"
# Build ID: build-thc-h2ologin3.ncsa.illinois.edu-bernuzzi-2016.05.09-11.06.04-43776
# Simulation ID: run-parfile-nid08350-bernuzzi-2016.09.07-05.02.45-30218
# Run ID: run-parfile-nid08350-bernuzzi-2016.09.07-05.02.45-30218
#
# BNSANALYSIS::dens_unbnd_bernoulli (dens_unbnd_bernoulli)
# 1:iteration 2:time 3:data
0 0 1.72772287444529e-15
256 2.4 9.26727502637317e-15
512 4.8 8.83039112606971e-15
768 7.2 8.3812209830076e-15
1024 9.6 8.09810196964412e-15
1280 12 7.92786485903344e-15
1536 14.4 7.89883040663137e-15
1792 16.8 7.88285969973161e-15
2048 19.2 7.95281725529619e-15
2304 21.6 7.99146362895968e-15
2560 24 8.08668551409755e-15
2816 26.4 8.24244113005966e-15
3072 28.8 8.29485791050274e-15
3328 31.2 8.4669994469967e-15
3584 33.6 8.5611825174353e-15
3840 36 8.61087638833291e-15
4096 38.4 8.61740290124278e-15
4352 40.8 8.63566201176802e-15
4608 43.2 8.67107379753609e-15
4864 45.6 8.70733171018426e-15
5120 48 8.68570857732449e-15
5376 50.4 8.6987805859056e-15
5632 52.8 8.72920481005353e-15
5888 55.2 8.72848735166372e-15
6144 57.6 8.72090948358026e-15
6400 60 8.71612696816405e-15
6656 62.4 8.72013293043241e-15
6912 64.8 8.72619075412882e-15
7168 67.2 8.7238377566918e-15
7424 69.6 8.71994538186199e-15
7680 72 8.72847780650385e-15
7936 74.4 8.72392385817192e-15
8192 76.8 8.70903508269694e-15
8448 79.2 8.69775594451024e-15
8704 81.6 8.69767610599096e-15
8960 84 8.70255632147262e-15
9216 86.4 8.70157976107468e-15
9472 88.8 8.70185753344521e-15
9728 91.2 8.68982496032918e-15
9984 93.6 8.68180580443436e-15
10240 96 8.67545219792534e-15
10496 98.4 8.67023634672033e-15
10752 100.8 8.66270908601739e-15
11008 103.2 8.65722375483957e-15
11264 105.6 8.64945858152824e-15
11520 108 8.63750451151854e-15
11776 110.4 8.6284856802793e-15
12032 112.8 8.61740288128395e-15
12288 115.2 8.61170101477716e-15
12544 117.6 8.60955784558338e-15
12800 120 8.60315093663048e-15
13056 122.4 8.59513073006247e-15
13312 124.8 8.58631280282845e-15
13568 127.2 8.57603183452901e-15
13824 129.6 8.56193995468361e-15
14080 132 8.55227017257937e-15
14336 134.4 8.5408139535085e-15
14592 136.8 8.52598775151878e-15
14848 139.2 8.51707458858145e-15
15104 141.6 8.50554778480302e-15
15360 144 8.49303075353458e-15
15616 146.4 8.48193740112803e-15
15872 148.8 8.47016543355009e-15
16128 151.2 8.45831731262826e-15
16384 153.6 8.44628646368765e-15
16640 156 8.43517698662866e-15
16896 158.4 8.4256601172935e-15
17152 160.8 8.41623036619326e-15
17408 163.2 8.40598903906032e-15
17664 165.6 8.3968669764693e-15
17920 168 8.38876122552851e-15
18176 170.4 8.37979121016954e-15
18432 172.8 8.37353728329281e-15
18688 175.2 8.36533560306748e-15
18944 177.6 8.35650379624337e-15
19200 180 8.3478740970218e-15
19456 182.4 8.34108701834335e-15
19712 184.8 8.3352708700868e-15
19968 187.2 8.32546763991964e-15
20224 189.6 8.31993065600944e-15
20480 192 8.31597421625667e-15
20736 194.4 8.30656516657965e-15
20992 196.8 8.30055088313378e-15
21248 199.2 8.29133388231228e-15
21504 201.6 8.28573574591533e-15
21760 204 8.28176033663806e-15
22016 206.4 8.27637296960778e-15
22272 208.8 8.26846939102306e-15
22528 211.2 8.25981513094239e-15
22784 213.6 8.25413293257603e-15
23040 216 8.24893365541326e-15
23296 218.4 8.24219911029713e-15
23552 220.8 8.23507134784773e-15
23808 223.2 8.23276652932866e-15
24064 225.6 8.22911483923648e-15
24320 228 8.22612921940945e-15
24576 230.4 8.22219670268136e-15
24832 232.8 8.21485322774189e-15
25088 235.2 8.21072247298319e-15
25344 237.6 8.20822575975112e-15
25600 240 8.20318389919358e-15
25856 242.4 8.19939170695261e-15
26112 244.8 8.19454252036252e-15
26368 247.2 8.19163895643687e-15
26624 249.6 8.18817352869555e-15
26880 252 8.18376947391111e-15
27136 254.4 8.17991643395023e-15
27392 256.8 8.17660839244428e-15
27648 259.2 8.17224142737924e-15
27904 261.6 8.17126015544777e-15
28160 264 8.16861194785186e-15
28416 266.4 8.16468210837706e-15
28672 268.8 8.16281693513678e-15
28928 271.2 8.15869241611786e-15
29184 273.6 8.15862838713672e-15
29440 276 8.15897401714413e-15
29696 278.4 8.15635280414292e-15
29952 280.8 8.1558335724847e-15
30208 283.2 8.15407730525926e-15
30464 285.6 8.1549922781214e-15
30720 288 8.15322409774634e-15
30976 290.4 8.15279085521988e-15
31232 292.8 8.15262679659092e-15
31488 295.2 8.15354167537977e-15
# Scalar ASCII output created by CarpetIOScalar
# created on nid04912 by bernuzzi on Sep 09 2016 at 14:54:41-0500
# parameter filename: "parfile.par"
# Build ID: build-thc-h2ologin3.ncsa.illinois.edu-bernuzzi-2016.05.09-11.06.04-43776
# Simulation ID: run-parfile-nid04912-bernuzzi-2016.09.09-19.35.17-32516
# Run ID: run-parfile-nid04912-bernuzzi-2016.09.09-19.35.17-32516
#
# BNSANALYSIS::dens_unbnd_bernoulli (dens_unbnd_bernoulli)
# 1:iteration 2:time 3:data
31744 297.6 8.15431595569205e-15
32000 300 8.15474507863545e-15
32256 302.4 8.15623023595498e-15
32512 304.8 8.15832410820235e-15
32768 307.2 8.15779847072542e-15
33024 309.6 8.15913272777534e-15
33280 312 8.15854624994056e-15
33536 314.4 8.15994799237562e-15
33792 316.8 8.16103130268214e-15
34048 319.2 8.16174409198414e-15
34304 321.6 8.16179419423327e-15
34560 324 8.16612840584604e-15
34816 326.4 8.16789840855295e-15
35072 328.8 8.16960959264714e-15
35328 331.2 8.17040205660616e-15
35584 333.6 8.1731031030259e-15
35840 336 8.17565065452867e-15
36096 338.4 8.17679451047889e-15
36352 340.8 8.18017392844808e-15
36608 343.2 8.18344777043465e-15
36864 345.6 8.18624025421868e-15
37120 348 8.18907110559519e-15
37376 350.4 8.19144129488444e-15
37632 352.8 8.19512142255528e-15
37888 355.2 8.19955160044912e-15
38144 357.6 8.20096426853635e-15
38400 360 8.20566822242985e-15
38656 362.4 8.20943765267357e-15
38912 364.8 8.21386379467299e-15
39168 367.2 8.21805434193463e-15
39424 369.6 8.22041481676456e-15
39680 372 8.22671601093576e-15
39936 374.4 8.22976742411295e-15
40192 376.8 8.23425294638054e-15
40448 379.2 8.23626217374832e-15
40704 381.6 8.24191038243714e-15
40960 384 8.2461474186096e-15
41216 386.4 8.24997285892172e-15
41472 388.8 8.25654222893257e-15
41728 391.2 8.25921500639908e-15
41984 393.6 8.26532899885056e-15
42240 396 8.27076855198999e-15
42496 398.4 8.27657235495115e-15
42752 400.8 8.27930991420511e-15
43008 403.2 8.28380221571286e-15
43264 405.6 8.28701964104478e-15
43520 408 8.29238784891893e-15
43776 410.4 8.29917436801257e-15
44032 412.8 8.30318388802756e-15
44288 415.2 8.30978963531319e-15
44544 417.6 8.31382856751732e-15
44800 420 8.32014161238312e-15
45056 422.4 8.32813275569368e-15
45312 424.8 8.33175048531156e-15
45568 427.2 8.33799952945845e-15
45824 429.6 8.34382012986169e-15
46080 432 8.34911905364011e-15
46336 434.4 8.35669692303424e-15
46592 436.8 8.36274666252203e-15
46848 439.2 8.36814634841027e-15
47104 441.6 8.37234796910041e-15
47360 444 8.37836039313373e-15
47616 446.4 8.38585694163333e-15
47872 448.8 8.39103835892819e-15
48128 451.2 8.39772389937672e-15
48384 453.6 8.40438880425177e-15
48640 456 8.40726911766747e-15
48896 458.4 8.4151917095167e-15
49152 460.8 8.4204895678368e-15
49408 463.2 8.42586814535794e-15
49664 465.6 8.43217338551925e-15
49920 468 8.43695934823275e-15
50176 470.4 8.44566841293213e-15
50432 472.8 8.45129991275272e-15
50688 475.2 8.45702919332062e-15
50944 477.6 8.46321402092135e-15
51200 480 8.46988084750339e-15
51456 482.4 8.47633412555548e-15
51712 484.8 8.48242961429674e-15
51968 487.2 8.48979295288487e-15
52224 489.6 8.49550217183798e-15
52480 492 8.50225791721651e-15
52736 494.4 8.5096241184357e-15
52992 496.8 8.51518421481862e-15
53248 499.2 8.52114649731657e-15
53504 501.6 8.52755270514427e-15
53760 504 8.53253550041521e-15
54016 506.4 8.53600697595474e-15
54272 508.8 8.54566759100227e-15
54528 511.2 8.54937457689623e-15
54784 513.6 8.55446899357686e-15
55040 516 8.56020285611312e-15
55296 518.4 8.56674910552764e-15
55552 520.8 8.57131246149704e-15
55808 523.2 8.57639819931518e-15
56064 525.6 8.58393599405804e-15
56320 528 8.58962558017535e-15
56576 530.4 8.59609247465862e-15
56832 532.8 8.60215186683269e-15
57088 535.2 8.60796344536696e-15
57344 537.6 8.61500644212944e-15
57600 540 8.61904682205344e-15
57856 542.4 8.62461099864059e-15
58112 544.8 8.63020142838054e-15
58368 547.2 8.63493082401695e-15
58624 549.6 8.64149893562553e-15
58880 552 8.64644721754067e-15
59136 554.4 8.65037373186249e-15
59392 556.8 8.65559320083095e-15
59648 559.2 8.65961895416869e-15
59904 561.6 8.66596753068495e-15
60160 564 8.66963781924166e-15
60416 566.4 8.67461828112325e-15
60672 568.8 8.67781162550028e-15
60928 571.2 8.6842458157208e-15
61184 573.6 8.68774574951813e-15
61440 576 8.69151485212378e-15
61696 578.4 8.69642813445656e-15
61952 580.8 8.70141757593215e-15
62208 583.2 8.70409371143536e-15
62464 585.6 8.70815619136588e-15
62720 588 8.71070719076819e-15
62976 590.4 8.71619969315296e-15
63232 592.8 8.72038833998741e-15
63488 595.2 8.72574906416057e-15
63744 597.6 8.72946584690029e-15
# Scalar ASCII output created by CarpetIOScalar
# created on nid01710 by bernuzzi on Sep 12 2016 at 19:27:10-0500
# parameter filename: "parfile.par"
# Build ID: build-thc-h2ologin3.ncsa.illinois.edu-bernuzzi-2016.05.09-11.06.04-43776
# Simulation ID: run-parfile-nid01710-bernuzzi-2016.09.13-00.15.00-6521
# Run ID: run-parfile-nid01710-bernuzzi-2016.09.13-00.15.00-6521
#
# BNSANALYSIS::dens_unbnd_bernoulli (dens_unbnd_bernoulli)
# 1:iteration 2:time 3:data
64000 600 8.73490424861312e-15
64256 602.4 8.73812057284897e-15
64512 604.8 8.74186218573171e-15
64768 607.2 8.74450524051135e-15
65024 609.6 8.74959347814252e-15
65280 612 8.75202609529199e-15
65536 614.4 8.7558503019089e-15
65792 616.8 8.76003756352692e-15
66048 619.2 8.76713586420735e-15
66304 621.6 8.76941094219367e-15
66560 624 8.77523405297161e-15
66816 626.4 8.78042101677472e-15
67072 628.8 8.78281900238772e-15
67328 631.2 8.78820799359051e-15
67584 633.6 8.79218821782227e-15
67840 636 8.79603930780279e-15
68096 638.4 8.80194271414745e-15
68352 640.8 8.80756151095405e-15
68608 643.2 8.81112708176279e-15
68864 645.6 8.81691646008423e-15
69120 648 8.82226533373748e-15
69376 650.4 8.82857236326429e-15
69632 652.8 8.8351878521975e-15
69888 655.2 8.83840325918651e-15
70144 657.6 8.84285355887769e-15
70400 660 8.85022320731134e-15
70656 662.4 8.85426226726104e-15
70912 664.8 8.85766589195246e-15
71168 667.2 8.86207511704051e-15
