# Scalar ASCII output created by CarpetIOScalar
# created on nid08350 by bernuzzi on Sep 07 2016 at 00:20:58-0500
# parameter filename: "parfile.par"
# Build ID: build-thc-h2ologin3.ncsa.illinois.edu-bernuzzi-2016.05.09-11.06.04-43776
# Simulation ID: run-parfile-nid08350-bernuzzi-2016.09.07-05.02.45-30218
# Run ID: run-parfile-nid08350-bernuzzi-2016.09.07-05.02.45-30218
#
# BNSANALYSIS::dens_unbnd_garching (dens_unbnd_garching)
# 1:iteration 2:time 3:data
0 0 1.72765234810041e-15
256 2.4 9.26686367643556e-15
512 4.8 8.83004533883865e-15
768 7.2 8.38090366155184e-15
1024 9.6 8.09774685784258e-15
1280 12 7.92751012990854e-15
1536 14.4 7.89845526454155e-15
1792 16.8 7.88251271665588e-15
2048 19.2 7.95245925141227e-15
2304 21.6 7.99108947124767e-15
2560 24 8.08631499834895e-15
2816 26.4 8.24208275775738e-15
3072 28.8 8.29450068632729e-15
3328 31.2 8.46661496874923e-15
3584 33.6 8.5607847148873e-15
3840 36 8.61045108899229e-15
4096 38.4 8.61695589457435e-15
4352 40.8 8.63520237667309e-15
4608 43.2 8.6705646952939e-15
4864 45.6 8.70684373683019e-15
5120 48 8.68522984008968e-15
5376 50.4 8.69829054419086e-15
5632 52.8 8.72868144603195e-15
5888 55.2 8.72795022282258e-15
6144 57.6 8.72037252069437e-15
6400 60 8.71559192045118e-15
6656 62.4 8.71961271698568e-15
6912 64.8 8.72566451541855e-15
7168 67.2 8.7233110087415e-15
7424 69.6 8.71941229320249e-15
7680 72 8.7279566081139e-15
7936 74.4 8.72333378311777e-15
8192 76.8 8.70845025377878e-15
8448 79.2 8.69715611703596e-15
8704 81.6 8.69708574362217e-15
8960 84 8.70197552857258e-15
9216 86.4 8.70082307849773e-15
9472 88.8 8.70123561953086e-15
9728 91.2 8.68921859762695e-15
9984 93.6 8.68120700275553e-15
10240 96 8.67463422074947e-15
10496 98.4 8.66959632710305e-15
10752 100.8 8.66209646863134e-15
11008 103.2 8.65654998548082e-15
11264 105.6 8.64879216676639e-15
11520 108 8.6368212919722e-15
11776 110.4 8.62782208279073e-15
12032 112.8 8.61673878260405e-15
12288 115.2 8.61101405233745e-15
12544 117.6 8.60886069397158e-15
12800 120 8.60245649289192e-15
13056 122.4 8.59442916289835e-15
13312 124.8 8.5855982241864e-15
13568 127.2 8.5752907696905e-15
13824 129.6 8.56118312644631e-15
14080 132 8.55150087057882e-15
