# Scalar ASCII output created by CarpetIOScalar
# created on nid08350 by bernuzzi on Sep 07 2016 at 00:21:06-0500
# parameter filename: "parfile.par"
# Build ID: build-thc-h2ologin3.ncsa.illinois.edu-bernuzzi-2016.05.09-11.06.04-43776
# Simulation ID: run-parfile-nid08350-bernuzzi-2016.09.07-05.02.45-30218
# Run ID: run-parfile-nid08350-bernuzzi-2016.09.07-05.02.45-30218
#
# THC_LEAKAGEBASE::luminosity_nua (luminosity_nua)
# 1:iteration 2:time 3:data
0 0 0
256 2.4 6.48085400563953e-23
512 4.8 8.03449090499482e-23
768 7.2 2.23058478361077e-22
1024 9.6 6.70796207084548e-22
1280 12 2.2533146277212e-21
1536 14.4 2.72256591897077e-21
1792 16.8 5.946365900651e-21
2048 19.2 1.29410130099697e-20
2304 21.6 2.05839774795731e-20
2560 24 3.95767668659287e-20
2816 26.4 5.34441229643267e-20
3072 28.8 4.04344552856925e-20
3328 31.2 2.93844593847132e-20
3584 33.6 2.85635393592923e-20
3840 36 3.51348581964922e-20
4096 38.4 5.70918269744207e-20
4352 40.8 1.16611584088037e-19
4608 43.2 2.3055683722996e-19
4864 45.6 3.26246894199486e-19
5120 48 3.79521333723898e-19
5376 50.4 3.29368501586748e-19
5632 52.8 2.30274541613587e-19
5888 55.2 1.92509084761406e-19
6144 57.6 2.06563090890415e-19
6400 60 2.68053930978497e-19
6656 62.4 3.85981606452749e-19
6912 64.8 4.51055961532451e-19
7168 67.2 4.06998995996403e-19
7424 69.6 4.10852435213091e-19
7680 72 4.94416502140052e-19
7936 74.4 6.30248471460584e-19
8192 76.8 6.37080892355472e-19
8448 79.2 6.05899755364796e-19
8704 81.6 5.89177437675744e-19
8960 84 5.93725554287165e-19
9216 86.4 6.2339330745252e-19
9472 88.8 5.80191933274239e-19
9728 91.2 5.45309758602987e-19
9984 93.6 5.12848046588809e-19
10240 96 5.06226750066447e-19
10496 98.4 4.95685963568898e-19
10752 100.8 5.19697791564794e-19
11008 103.2 5.96748038001655e-19
11264 105.6 7.1639179580511e-19
11520 108 9.09324283747077e-19
11776 110.4 1.1169351866548e-18
12032 112.8 1.26637504046796e-18
12288 115.2 1.31407973110107e-18
12544 117.6 1.25102457394324e-18
12800 120 1.12438271948198e-18
13056 122.4 1.01221897495452e-18
13312 124.8 9.27054815520027e-19
13568 127.2 8.61808853051512e-19
13824 129.6 8.13549183733122e-19
14080 132 7.79586887788879e-19
14336 134.4 7.75648980170776e-19
14592 136.8 7.95644094221854e-19
14848 139.2 8.36269573692738e-19
15104 141.6 8.95536147091529e-19
15360 144 9.70454824025232e-19
15616 146.4 1.03024728358725e-18
15872 148.8 1.0476557020176e-18
16128 151.2 1.02354798476142e-18
16384 153.6 9.71652762931523e-19
16640 156 9.0274689094191e-19
16896 158.4 8.26745683441975e-19
17152 160.8 7.66986671239183e-19
17408 163.2 7.25946526636695e-19
17664 165.6 7.16531216704176e-19
17920 168 7.1464195004099e-19
18176 170.4 7.41964124262086e-19
18432 172.8 8.22964124771538e-19
18688 175.2 9.82090579030642e-19
18944 177.6 1.20713354515512e-18
19200 180 1.40873014976553e-18
19456 182.4 1.53880570594169e-18
19712 184.8 1.59052966650656e-18
19968 187.2 1.56375653049844e-18
20224 189.6 1.47475779749441e-18
20480 192 1.36150936510919e-18
20736 194.4 1.26159637078984e-18
20992 196.8 1.18525620036705e-18
21248 199.2 1.13602333286266e-18
21504 201.6 1.11474226792072e-18
21760 204 1.12216499631072e-18
22016 206.4 1.14657083188457e-18
22272 208.8 1.19824455113858e-18
22528 211.2 1.27058695248247e-18
22784 213.6 1.35703838360746e-18
23040 216 1.42766706295321e-18
23296 218.4 1.46664989067389e-18
23552 220.8 1.48117168796095e-18
23808 223.2 1.46747393401856e-18
24064 225.6 1.41534211312989e-18
24320 228 1.33808972013887e-18
24576 230.4 1.26146012233695e-18
24832 232.8 1.19963451991937e-18
25088 235.2 1.16426803975664e-18
25344 237.6 1.15893825067047e-18
25600 240 1.19232520690553e-18
25856 242.4 1.27637661408891e-18
26112 244.8 1.40956873501056e-18
26368 247.2 1.57150948402071e-18
26624 249.6 1.7403022682722e-18
26880 252 1.88828206532781e-18
27136 254.4 2.01024709774272e-18
27392 256.8 2.09239270470638e-18
27648 259.2 2.10035965513006e-18
27904 261.6 2.05188171942932e-18
28160 264 1.99448582250929e-18
28416 266.4 1.94506248952179e-18
28672 268.8 1.89839970814245e-18
28928 271.2 1.84309852029248e-18
29184 273.6 1.77745354457643e-18
29440 276 1.72499396093433e-18
29696 278.4 1.69429673107423e-18
29952 280.8 1.6819977622667e-18
30208 283.2 1.68480609240009e-18
30464 285.6 1.69075787676569e-18
30720 288 1.69678983397944e-18
30976 290.4 1.69046213656204e-18
31232 292.8 1.67451282168591e-18
31488 295.2 1.64906580421418e-18
# Scalar ASCII output created by CarpetIOScalar
# created on nid04912 by bernuzzi on Sep 09 2016 at 14:54:43-0500
# parameter filename: "parfile.par"
# Build ID: build-thc-h2ologin3.ncsa.illinois.edu-bernuzzi-2016.05.09-11.06.04-43776
# Simulation ID: run-parfile-nid04912-bernuzzi-2016.09.09-19.35.17-32516
# Run ID: run-parfile-nid04912-bernuzzi-2016.09.09-19.35.17-32516
#
# THC_LEAKAGEBASE::luminosity_nua (luminosity_nua)
# 1:iteration 2:time 3:data
31744 297.6 1.61346982137383e-18
32000 300 1.57884745290653e-18
32256 302.4 1.54634537788575e-18
32512 304.8 1.52692210170521e-18
32768 307.2 1.53193207324359e-18
33024 309.6 1.54331942665385e-18
33280 312 1.57554749334951e-18
33536 314.4 1.64814822206719e-18
33792 316.8 1.73567708146536e-18
34048 319.2 1.81801756547477e-18
34304 321.6 1.86812802612588e-18
34560 324 1.89406145852188e-18
34816 326.4 1.91944293319079e-18
35072 328.8 1.92567861134306e-18
35328 331.2 1.90900149913973e-18
35584 333.6 1.88058057828793e-18
35840 336 1.83973935032324e-18
36096 338.4 1.81562747150863e-18
36352 340.8 1.789207157749e-18
36608 343.2 1.73842972572396e-18
36864 345.6 1.69328443283625e-18
37120 348 1.64695259261464e-18
37376 350.4 1.60775238398647e-18
37632 352.8 1.56863757900961e-18
37888 355.2 1.50258228571223e-18
38144 357.6 1.43112508140859e-18
38400 360 1.36596203674715e-18
38656 362.4 1.31800918636776e-18
38912 364.8 1.29138907122229e-18
39168 367.2 1.28133410711349e-18
39424 369.6 1.2867643908687e-18
39680 372 1.31189170151545e-18
39936 374.4 1.34598766678712e-18
40192 376.8 1.39560541985369e-18
40448 379.2 1.45665184005235e-18
40704 381.6 1.52941779075361e-18
40960 384 1.5982314145113e-18
41216 386.4 1.66708966752132e-18
41472 388.8 1.72840138879155e-18
41728 391.2 1.77227090093744e-18
41984 393.6 1.79752080693606e-18
42240 396 1.81042748093596e-18
42496 398.4 1.81560822327071e-18
42752 400.8 1.81394886378906e-18
43008 403.2 1.82249616463031e-18
43264 405.6 1.83046078618484e-18
43520 408 1.83878060321764e-18
43776 410.4 1.8550776669599e-18
44032 412.8 1.86695512276069e-18
44288 415.2 1.8682116585659e-18
44544 417.6 1.86075706431165e-18
44800 420 1.84786173548352e-18
45056 422.4 1.82931271038208e-18
45312 424.8 1.81425211717419e-18
45568 427.2 1.80329361659445e-18
45824 429.6 1.79930428173031e-18
46080 432 1.79560199304367e-18
46336 434.4 1.80033568592674e-18
46592 436.8 1.8197498140262e-18
46848 439.2 1.84502564093602e-18
47104 441.6 1.88119387097045e-18
47360 444 1.92776845629608e-18
47616 446.4 1.97952767238513e-18
47872 448.8 2.03041582334099e-18
48128 451.2 2.08196484798529e-18
48384 453.6 2.12947682966929e-18
48640 456 2.17133760300963e-18
48896 458.4 2.21140064675802e-18
49152 460.8 2.26360658195064e-18
49408 463.2 2.31817027930289e-18
49664 465.6 2.38110101947822e-18
49920 468 2.4358067147902e-18
50176 470.4 2.46256559609909e-18
50432 472.8 2.4836241330646e-18
50688 475.2 2.50245075900407e-18
50944 477.6 2.50607972390893e-18
51200 480 2.47676523556164e-18
51456 482.4 2.42114810023505e-18
51712 484.8 2.35262202389081e-18
51968 487.2 2.28294606109884e-18
52224 489.6 2.20333860274213e-18
52480 492 2.12611788113431e-18
52736 494.4 2.05660574792764e-18
52992 496.8 1.98916558369333e-18
53248 499.2 1.93226766324695e-18
53504 501.6 1.89118092165141e-18
53760 504 1.85722631046093e-18
54016 506.4 1.84457187450285e-18
54272 508.8 1.84977666284415e-18
54528 511.2 1.86923670528784e-18
54784 513.6 1.90039081450273e-18
55040 516 1.94559542120671e-18
55296 518.4 2.00241577333565e-18
55552 520.8 2.06843887767528e-18
55808 523.2 2.12582140708332e-18
56064 525.6 2.18811367605209e-18
56320 528 2.25216235467298e-18
56576 530.4 2.30448800398771e-18
56832 532.8 2.34144300845382e-18
57088 535.2 2.35784564638646e-18
57344 537.6 2.36978207929711e-18
57600 540 2.3775851865323e-18
57856 542.4 2.3691709289299e-18
58112 544.8 2.34046917913259e-18
58368 547.2 2.29725288355406e-18
58624 549.6 2.24956150320999e-18
58880 552 2.19519852247482e-18
59136 554.4 2.14608193986492e-18
59392 556.8 2.10275759282062e-18
59648 559.2 2.06373188527802e-18
59904 561.6 2.03747553084442e-18
60160 564 2.02721235423537e-18
60416 566.4 2.02937994639723e-18
60672 568.8 2.04211447700587e-18
60928 571.2 2.07008426198404e-18
61184 573.6 2.10457095653105e-18
61440 576 2.15050355387412e-18
61696 578.4 2.20692958498748e-18
61952 580.8 2.25731815080245e-18
62208 583.2 2.30921310313654e-18
62464 585.6 2.37057889237622e-18
62720 588 2.43366114200909e-18
62976 590.4 2.49830852399519e-18
63232 592.8 2.57006841020639e-18
63488 595.2 2.6528787789211e-18
63744 597.6 2.73385501182732e-18
# Scalar ASCII output created by CarpetIOScalar
# created on nid01710 by bernuzzi on Sep 12 2016 at 19:27:11-0500
# parameter filename: "parfile.par"
# Build ID: build-thc-h2ologin3.ncsa.illinois.edu-bernuzzi-2016.05.09-11.06.04-43776
# Simulation ID: run-parfile-nid01710-bernuzzi-2016.09.13-00.15.00-6521
# Run ID: run-parfile-nid01710-bernuzzi-2016.09.13-00.15.00-6521
#
# THC_LEAKAGEBASE::luminosity_nua (luminosity_nua)
# 1:iteration 2:time 3:data
64000 600 2.81777979188518e-18
64256 602.4 2.89642332268467e-18
64512 604.8 2.9642316188963e-18
64768 607.2 3.00167140009567e-18
65024 609.6 3.0155114414356e-18
65280 612 3.02301072539448e-18
65536 614.4 3.00122290370661e-18
65792 616.8 2.95001208833315e-18
66048 619.2 2.88299238787859e-18
66304 621.6 2.83579505631438e-18
66560 624 2.7872401166474e-18
66816 626.4 2.73003610470467e-18
67072 628.8 2.66807221776974e-18
67328 631.2 2.60508253620013e-18
67584 633.6 2.5549876842004e-18
67840 636 2.5064513520858e-18
68096 638.4 2.46045483204641e-18
68352 640.8 2.42258452852039e-18
68608 643.2 2.39772199729381e-18
68864 645.6 2.38485495860584e-18
69120 648 2.38853479922431e-18
