# Scalar ASCII output created by CarpetIOScalar
# created on nid08350 by bernuzzi on Sep 07 2016 at 00:21:06-0500
# parameter filename: "parfile.par"
# Build ID: build-thc-h2ologin3.ncsa.illinois.edu-bernuzzi-2016.05.09-11.06.04-43776
# Simulation ID: run-parfile-nid08350-bernuzzi-2016.09.07-05.02.45-30218
# Run ID: run-parfile-nid08350-bernuzzi-2016.09.07-05.02.45-30218
#
# THC_LEAKAGEBASE::luminosity_nue (luminosity_nue)
# 1:iteration 2:time 3:data
0 0 0
256 2.4 1.41283470201052e-21
512 4.8 1.05049852529473e-21
768 7.2 8.49694507789609e-22
1024 9.6 1.78844219727022e-21
1280 12 2.05094535618069e-21
1536 14.4 2.71273522340705e-21
1792 16.8 3.87104015046443e-21
2048 19.2 6.08126910078785e-21
2304 21.6 1.24828246146713e-20
2560 24 2.36753816313053e-20
2816 26.4 2.71918814891376e-20
3072 28.8 1.7494356066697e-20
3328 31.2 1.19556476834208e-20
3584 33.6 1.35896789308537e-20
3840 36 2.02124143773984e-20
4096 38.4 3.64076872745902e-20
4352 40.8 6.36144382973802e-20
4608 43.2 1.16531357029962e-19
4864 45.6 1.32091563069735e-19
5120 48 1.45881513132828e-19
5376 50.4 1.32285967152167e-19
5632 52.8 1.08141456981371e-19
5888 55.2 9.57085270779413e-20
6144 57.6 1.0567575593337e-19
6400 60 1.427652919292e-19
6656 62.4 2.37466825309318e-19
6912 64.8 3.35569869870111e-19
7168 67.2 3.51932373241437e-19
7424 69.6 3.25910537679821e-19
7680 72 3.21396510425357e-19
7936 74.4 3.4834087492326e-19
8192 76.8 3.54698756528917e-19
8448 79.2 4.06480531080115e-19
8704 81.6 4.45315883003288e-19
8960 84 4.95771872104151e-19
9216 86.4 6.25031824380769e-19
9472 88.8 7.22499406836292e-19
9728 91.2 7.70281349339331e-19
9984 93.6 7.96050708009543e-19
10240 96 8.52400751048238e-19
10496 98.4 9.10608673010994e-19
10752 100.8 9.77467904939563e-19
11008 103.2 1.08360074307651e-18
11264 105.6 1.24352833941443e-18
11520 108 1.49973624940276e-18
11776 110.4 1.77960904199706e-18
12032 112.8 2.09280981254419e-18
12288 115.2 2.29035637752131e-18
12544 117.6 2.41227084858335e-18
12800 120 2.39982204903476e-18
13056 122.4 2.31041157693777e-18
13312 124.8 2.29327308631446e-18
13568 127.2 2.33025225010946e-18
13824 129.6 2.40472752555777e-18
14080 132 2.46555533364905e-18
14336 134.4 2.58502721296521e-18
14592 136.8 2.67032533304559e-18
14848 139.2 2.72151431833074e-18
15104 141.6 2.78434551724042e-18
15360 144 2.8302144842053e-18
15616 146.4 2.8565928413323e-18
15872 148.8 2.84192532756339e-18
16128 151.2 2.8640392227212e-18
16384 153.6 2.8705703018942e-18
16640 156 2.85246777979967e-18
16896 158.4 2.78643095524207e-18
17152 160.8 2.6667618112487e-18
17408 163.2 2.57416023271118e-18
17664 165.6 2.51096707293186e-18
17920 168 2.47077297475573e-18
18176 170.4 2.39465481937847e-18
18432 172.8 2.32045826018372e-18
18688 175.2 2.31004786049033e-18
18944 177.6 2.32008741757793e-18
19200 180 2.37798966202726e-18
19456 182.4 2.45219560712142e-18
19712 184.8 2.54872092099136e-18
19968 187.2 2.59265104549832e-18
20224 189.6 2.54168377767629e-18
20480 192 2.53012250990103e-18
20736 194.4 2.42754127310105e-18
20992 196.8 2.2946898848111e-18
21248 199.2 2.24037036291448e-18
21504 201.6 2.22952899784192e-18
21760 204 2.2505156683292e-18
22016 206.4 2.27032318883615e-18
22272 208.8 2.28728458229946e-18
22528 211.2 2.30284361268996e-18
22784 213.6 2.31535358934257e-18
23040 216 2.32467677210299e-18
23296 218.4 2.34443149114984e-18
23552 220.8 2.35955883801316e-18
23808 223.2 2.34314637886759e-18
24064 225.6 2.29320583048027e-18
24320 228 2.21972278917717e-18
24576 230.4 2.15190396206461e-18
24832 232.8 2.11931241494441e-18
25088 235.2 2.05730061215934e-18
25344 237.6 1.96339563547122e-18
25600 240 1.89671077696487e-18
25856 242.4 1.88213827461732e-18
26112 244.8 1.85576150543583e-18
26368 247.2 1.8462626269921e-18
26624 249.6 1.83758805934458e-18
26880 252 1.85149240625574e-18
27136 254.4 1.86063557854458e-18
27392 256.8 1.92020689300862e-18
