# Scalar ASCII output created by CarpetIOScalar
# created on nid08350 by bernuzzi on Sep 07 2016 at 00:21:06-0500
# parameter filename: "parfile.par"
# Build ID: build-thc-h2ologin3.ncsa.illinois.edu-bernuzzi-2016.05.09-11.06.04-43776
# Simulation ID: run-parfile-nid08350-bernuzzi-2016.09.07-05.02.45-30218
# Run ID: run-parfile-nid08350-bernuzzi-2016.09.07-05.02.45-30218
#
# THC_LEAKAGEBASE::luminosity_nux (luminosity_nux)
# 1:iteration 2:time 3:data
0 0 0
256 2.4 1.16772505191554e-24
512 4.8 5.87210416243839e-25
768 7.2 1.99488002016417e-24
1024 9.6 1.44766396945461e-23
1280 12 1.39654553054285e-23
1536 14.4 1.25007488828457e-23
1792 16.8 3.48348297671715e-23
2048 19.2 4.70344247664316e-23
2304 21.6 6.3805021247536e-23
2560 24 1.19198791167721e-22
2816 26.4 1.66371825717098e-22
3072 28.8 1.60962367161071e-22
3328 31.2 1.45858033179162e-22
3584 33.6 9.97292996597815e-23
3840 36 9.75579125077416e-23
4096 38.4 1.41955345695658e-22
4352 40.8 2.88707470804556e-22
4608 43.2 8.00973156121256e-22
4864 45.6 9.5321670198795e-22
5120 48 1.38582946208989e-21
5376 50.4 1.31389350087628e-21
5632 52.8 9.96521239939874e-22
5888 55.2 8.16047451543404e-22
6144 57.6 7.84831636822832e-22
6400 60 8.53489743935692e-22
6656 62.4 1.04180020982838e-21
6912 64.8 1.13256086739088e-21
7168 67.2 1.0393135258243e-21
7424 69.6 1.14459011475956e-21
7680 72 1.4455567907773e-21
7936 74.4 1.13057628816548e-20
8192 76.8 1.95415742168862e-21
8448 79.2 1.85914824608521e-21
8704 81.6 2.51713713182984e-21
8960 84 1.79847707645141e-21
9216 86.4 2.71698307521672e-21
9472 88.8 1.88216270190316e-21
9728 91.2 1.79320598018177e-21
9984 93.6 1.75364606116683e-21
10240 96 2.28640238778954e-21
10496 98.4 1.8215796624033e-21
10752 100.8 1.95031884107687e-21
11008 103.2 2.88751202364811e-21
11264 105.6 2.51893793494835e-21
11520 108 3.20371594167933e-21
11776 110.4 4.01634929787384e-21
12032 112.8 4.62634967392659e-21
12288 115.2 4.94684908999066e-21
12544 117.6 4.93797578413352e-21
12800 120 4.73011935826537e-21
13056 122.4 4.64990258948648e-21
13312 124.8 4.69127687410902e-21
13568 127.2 4.67783895172157e-21
13824 129.6 4.54056078439078e-21
14080 132 4.33096266577528e-21
14336 134.4 4.22525125998868e-21
14592 136.8 4.26792716157915e-21
14848 139.2 4.46725292999798e-21
15104 141.6 4.75196357056672e-21
15360 144 5.18240697048479e-21
15616 146.4 5.490293555259e-21
15872 148.8 5.61604250250581e-21
16128 151.2 5.38762224305216e-21
16384 153.6 5.18927441577829e-21
16640 156 4.91770829067089e-21
16896 158.4 4.68524804418753e-21
17152 160.8 4.48858547955326e-21
17408 163.2 4.25411690422979e-21
17664 165.6 4.11508215552919e-21
17920 168 3.98888040902023e-21
18176 170.4 4.02595967210117e-21
18432 172.8 4.38300833190655e-21
18688 175.2 5.13720507376627e-21
18944 177.6 6.42599596062464e-21
19200 180 7.70558165124466e-21
19456 182.4 8.41296680221397e-21
19712 184.8 8.79981833880665e-21
19968 187.2 8.7306432082204e-21
20224 189.6 8.31040019704146e-21
20480 192 7.97024409225848e-21
20736 194.4 7.64250900414497e-21
20992 196.8 7.38556001418203e-21
21248 199.2 7.23548995207539e-21
21504 201.6 7.0948753360883e-21
21760 204 7.06018058028998e-21
22016 206.4 7.12350239550379e-21
22272 208.8 7.29185828412522e-21
22528 211.2 7.57151628732851e-21
22784 213.6 8.06041012763341e-21
23040 216 8.46371656663368e-21
23296 218.4 8.48170319227651e-21
23552 220.8 8.48044167460557e-21
23808 223.2 8.4841642333749e-21
24064 225.6 8.28441162452075e-21
