# 1:time 2:mass 3:einf>=0
4.8 0.0 0.0
9.6 -3.2265993e-12 0.0
14.4 -5.4029021e-12 0.0
19.2 -9.0683022e-12 0.0
24.0 -1.4324564e-11 0.0
28.8 -1.867621e-11 0.0
33.6 -2.6018468e-11 0.0
38.4 -3.5174118e-11 0.0
43.2 -4.3525923e-11 0.0
48.0 -5.4989115e-11 0.0
52.8 -6.8481426e-11 0.0
57.6 -8.3149541e-11 0.0
62.4 -9.7468567e-11 0.0
67.2 -1.1087267e-10 0.0
72.0 -1.2489641e-10 0.0
76.8 -1.4049165e-10 0.0
81.6 -1.5910689e-10 0.0
86.4 -1.7932555e-10 0.0
91.2 -1.9804012e-10 0.0
96.0 -2.1565436e-10 0.0
100.8 -2.321666e-10 0.0
105.6 -2.4916262e-10 0.0
110.4 -2.6768166e-10 0.0
115.2 -2.8848646e-10 0.0
120.0 -3.125411e-10 0.0
124.8 -3.3966983e-10 0.0
129.6 -3.6812055e-10 0.0
134.4 -3.935722e-10 0.0
139.2 -4.1847192e-10 0.0
144.0 -4.4444716e-10 0.0
148.8 -4.7086663e-10 0.0
153.6 -4.959313e-10 0.0
158.4 -5.2041477e-10 0.0
163.2 -5.4592733e-10 0.0
168.0 -5.7379924e-10 0.0
172.8 -6.0450894e-10 0.0
177.6 -6.3925357e-10 0.0
182.4 -6.7899172e-10 0.0
187.2 -7.2270043e-10 0.0
192.0 -7.6541427e-10 0.0
196.8 -8.0775541e-10 0.0
201.6 -8.5335181e-10 0.0
206.4 -9.0005096e-10 0.0
211.2 -9.4580798e-10 0.0
216.0 -9.8758285e-10 0.0
220.8 -1.023857e-09 0.0
225.6 -1.0564185e-09 0.0
230.4 -1.0903163e-09 0.0
235.2 -1.1288103e-09 0.0
240.0 -1.1732183e-09 0.0
244.8 -1.2233337e-09 0.0
249.6 -1.2784246e-09 0.0
254.4 -1.3374443e-09 0.0
259.2 -1.4000116e-09 0.0
264.0 -1.4652831e-09 0.0
268.8 -1.5349662e-09 0.0
273.6 -1.6081923e-09 0.0
278.4 -1.6838965e-09 0.0
283.2 -1.7601995e-09 0.0
288.0 -1.8370891e-09 0.0
292.8 -1.9154075e-09 0.0
297.6 -1.9953981e-09 0.0
302.4 -2.07373e-09 0.0
307.2 -2.1477267e-09 0.0
312.0 -2.2172025e-09 0.0
316.8 -2.283659e-09 0.0
321.6 -2.3492393e-09 0.0
326.4 -2.4159984e-09 0.0
331.2 -2.4850251e-09 0.0
336.0 -2.5570081e-09 0.0
340.8 -2.6305504e-09 0.0
345.6 -2.7050865e-09 0.0
350.4 -2.7808105e-09 0.0
355.2 -2.8580941e-09 0.0
360.0 -2.9373936e-09 0.0
364.8 -3.0188517e-09 0.0
369.6 -3.1026467e-09 0.0
374.4 -3.1889561e-09 0.0
379.2 -3.2761178e-09 0.0
384.0 -3.3614034e-09 0.0
388.8 -3.4455774e-09 0.0
393.6 -3.5302138e-09 0.0
398.4 -3.6155168e-09 0.0
403.2 -3.6993034e-09 0.0
408.0 -3.7810843e-09 0.0
412.8 -3.8594984e-09 0.0
417.6 -3.9339131e-09 0.0
422.4 -4.0050967e-09 0.0
427.2 -4.0736771e-09 0.0
432.0 -4.1413568e-09 0.0
436.8 -4.2107965e-09 0.0
441.6 -4.2826637e-09 0.0
446.4 -4.356263e-09 0.0
451.2 -4.4332973e-09 0.0
456.0 -4.5146404e-09 0.0
460.8 -4.5997702e-09 0.0
465.6 -4.6893726e-09 0.0
470.4 -4.783796e-09 0.0
475.2 -4.8822666e-09 0.0
480.0 -4.9848176e-09 0.0
484.8 -5.0923146e-09 0.0
489.6 -5.204682e-09 0.0
494.4 -5.3222433e-09 0.0
499.2 -5.4449392e-09 0.0
504.0 -5.5732607e-09 0.0
508.8 -5.7070783e-09 0.0
513.6 -5.8466964e-09 0.0
518.4 -5.9921052e-09 0.0
523.2 -6.143252e-09 0.0
528.0 -6.299985e-09 0.0
532.8 -6.4614569e-09 0.0
537.6 -6.6278575e-09 0.0
542.4 -6.7990472e-09 0.0
547.2 -6.9728446e-09 0.0
552.0 -7.1494319e-09 0.0
556.8 -7.327389e-09 0.0
561.6 -7.5056001e-09 0.0
566.4 -7.6821228e-09 0.0
571.2 -7.8549355e-09 0.0
576.0 -8.017339e-09 0.0
580.8 -8.1632499e-09 0.0
585.6 -8.2924879e-09 0.0
590.4 -8.4076388e-09 0.0
595.2 -8.5123716e-09 0.0
600.0 -8.6092374e-09 0.0
604.8 -8.7002026e-09 0.0
609.6 -8.7873383e-09 0.0
614.4 -8.8749101e-09 0.0
619.2 -8.9636761e-09 0.0
624.0 -9.0545815e-09 0.0
628.8 -9.1476093e-09 0.0
633.6 -9.2433238e-09 0.0
638.4 -9.3421177e-09 0.0
643.2 -9.4439962e-09 0.0
648.0 -9.5494701e-09 0.0
652.8 -9.6585519e-09 0.0
657.6 -9.7708747e-09 0.0
662.4 -9.8864114e-09 0.0
667.2 -1.0005433e-08 0.0
672.0 -1.0128067e-08 0.0
676.8 -1.0254051e-08 0.0
681.6 -1.0383303e-08 0.0
686.4 -1.0516231e-08 0.0
691.2 -1.0652399e-08 0.0
696.0 -1.079161e-08 0.0
700.8 -1.0933488e-08 0.0
705.6 -1.1077511e-08 0.0
710.4 -1.1222561e-08 0.0
715.2 -1.1367284e-08 0.0
720.0 -1.1509897e-08 0.0
724.8 -1.1647885e-08 0.0
729.6 -1.178149e-08 0.0
734.4 -1.1908563e-08 0.0
739.2 -1.2028846e-08 0.0
744.0 -1.2142229e-08 0.0
748.8 -1.2249196e-08 0.0
753.6 -1.2349221e-08 0.0
758.4 -1.2443449e-08 0.0
763.2 -1.2533122e-08 0.0
768.0 -1.261973e-08 0.0
772.8 -1.2704312e-08 0.0
777.6 -1.2788279e-08 0.0
782.4 -1.2875324e-08 0.0
787.2 -1.2964847e-08 0.0
792.0 -1.3057044e-08 0.0
796.8 -1.3151655e-08 0.0
801.6 -1.3249476e-08 0.0
806.4 -1.3351351e-08 0.0
811.2 -1.3457861e-08 0.0
816.0 -1.3568442e-08 0.0
820.8 -1.3683428e-08 0.0
825.6 -1.3802773e-08 0.0
830.4 -1.392547e-08 0.0
835.2 -1.4051401e-08 0.0
840.0 -1.4179834e-08 0.0
844.8 -1.4311465e-08 0.0
849.6 -1.4445255e-08 0.0
854.4 -1.458025e-08 0.0
859.2 -1.4715512e-08 0.0
864.0 -1.485051e-08 0.0
868.8 -1.4983858e-08 0.0
873.6 -1.5115576e-08 0.0
878.4 -1.5246464e-08 0.0
883.2 -1.5375993e-08 0.0
888.0 -1.5504128e-08 0.0
892.8 -1.5630207e-08 0.0
897.6 -1.5754393e-08 0.0
902.4 -1.5875546e-08 0.0
907.2 -1.5990827e-08 0.0
912.0 -1.6100986e-08 0.0
916.8 -1.6207375e-08 0.0
921.6 -1.6310237e-08 0.0
926.4 -1.6413195e-08 0.0
931.2 -1.6516158e-08 0.0
936.0 -1.6620587e-08 0.0
940.8 -1.6726999e-08 0.0
945.6 -1.6835684e-08 0.0
950.4 -1.6945745e-08 0.0
955.2 -1.7058143e-08 0.0
960.0 -1.7173341e-08 0.0
964.8 -1.7290573e-08 0.0
969.6 -1.7411165e-08 0.0
974.4 -1.7534442e-08 0.0
979.2 -1.7659452e-08 0.0
984.0 -1.7785617e-08 0.0
988.8 -1.7912069e-08 0.0
993.6 -1.8037198e-08 0.0
998.4 -1.8161262e-08 0.0
1003.2 -1.828449e-08 0.0
1008.0 -1.8407453e-08 0.0
1012.8 -1.852979e-08 0.0
1017.6 -1.8650178e-08 0.0
1022.4 -1.8769562e-08 0.0
1027.2 -1.8886525e-08 0.0
1032.0 -1.9002036e-08 0.0
1036.8 -1.9115676e-08 0.0
1041.6 -1.9227676e-08 0.0
1046.4 -1.9338917e-08 0.0
1051.2 -1.9449145e-08 0.0
1056.0 -1.955838e-08 0.0
1060.8 -1.966695e-08 0.0
1065.6 -1.977599e-08 0.0
1070.4 -1.988501e-08 0.0
1075.2 -1.9993429e-08 0.0
1080.0 -2.0102282e-08 0.0
1084.8 -2.021309e-08 0.0
1089.6 -2.0326341e-08 0.0
1094.4 -2.0442982e-08 0.0
1099.2 -2.0562398e-08 0.0
1104.0 -2.0683302e-08 0.0
1108.8 -2.0806131e-08 0.0
1113.6 -2.0931559e-08 0.0
1118.4 -2.105941e-08 0.0
1123.2 -2.1189612e-08 0.0
1128.0 -2.1321142e-08 0.0
1132.8 -2.1453189e-08 0.0
1137.6 -2.1585677e-08 0.0
1142.4 -2.1718587e-08 0.0
1147.2 -2.1851801e-08 0.0
1152.0 -2.1984159e-08 0.0
1156.8 -2.2115751e-08 0.0
1161.6 -2.2246165e-08 0.0
1166.4 -2.2375556e-08 0.0
1171.2 -2.2503715e-08 0.0
1176.0 -2.2629467e-08 0.0
1180.8 -2.275152e-08 0.0
1185.6 -2.2869881e-08 0.0
1190.4 -2.2985113e-08 0.0
1195.2 -2.3097707e-08 0.0
1200.0 -2.3206537e-08 0.0
1204.8 -2.3311039e-08 0.0
1209.6 -2.3410867e-08 0.0
1214.4 -2.350596e-08 0.0
1219.2 -2.3595047e-08 0.0
1224.0 -2.3677423e-08 0.0
1228.8 -2.3751287e-08 0.0
1233.6 -2.3815502e-08 0.0
1238.4 -2.3869401e-08 0.0
1243.2 -2.3911188e-08 0.0
1248.0 -2.3938691e-08 0.0
1252.8 -2.3951623e-08 0.0
1257.6 -2.39485e-08 0.0
1262.4 -2.3927218e-08 0.0
1267.2 -2.3886203e-08 0.0
1272.0 -2.3824198e-08 0.0
1276.8 -2.3739962e-08 0.0
1281.6 -2.3631279e-08 0.0
1286.4 -2.3496597e-08 0.0
1291.2 -2.3334988e-08 0.0
1296.0 -2.3144998e-08 0.0
1300.8 -2.2925583e-08 0.0
1305.6 -2.267553e-08 0.0
1310.4 -2.2393364e-08 0.0
1315.2 -2.2077364e-08 0.0
1320.0 -2.1725948e-08 0.0
1324.8 -2.1337401e-08 0.0
1329.6 -2.0910141e-08 0.0
1334.4 -2.0442988e-08 0.0
1339.2 -1.9935429e-08 0.0
1344.0 -1.9385907e-08 0.0
1348.8 -1.8792905e-08 0.0
1353.6 -1.8155368e-08 0.0
1358.4 -1.7473097e-08 0.0
1363.2 -1.6745309e-08 0.0
1368.0 -1.5971261e-08 0.0
1372.8 -1.5150205e-08 0.0
1377.6 -1.428099e-08 0.0
1382.4 -1.336182e-08 0.0
1387.2 -1.2392465e-08 0.0
1392.0 -1.1372202e-08 0.0
1396.8 -1.0301048e-08 0.0
1401.6 -9.1779837e-09 0.0
1406.4 -8.0023184e-09 0.0
1411.2 -6.7736802e-09 0.0
1416.0 -5.4910364e-09 0.0
1420.8 -4.1544576e-09 0.0
1425.6 -2.7639357e-09 0.0
1430.4 -1.318735e-09 0.0
1435.2 1.8142992e-10 0.0
1440.0 1.7370137e-09 0.0
1444.8 3.3487642e-09 0.0
1449.6 5.0172691e-09 0.0
1454.4 6.7433198e-09 0.0
1459.2 8.5274144e-09 0.0
1464.0 1.037038e-08 0.0
1468.8 1.227329e-08 0.0
1473.6 1.4237036e-08 0.0
1478.4 1.6262699e-08 0.0
1483.2 1.8351254e-08 0.0
1488.0 2.0503924e-08 0.0
1492.8 2.272199e-08 0.0
1497.6 2.5006823e-08 0.0
1502.4 2.7359165e-08 0.0
1507.2 2.9780738e-08 0.0
1512.0 3.2272787e-08 0.0
1516.8 3.4836562e-08 0.0
1521.6 3.747393e-08 0.0
1526.4 4.0186622e-08 0.0
1531.2 4.2976062e-08 0.0
1536.0 4.5843759e-08 0.0
1540.8 4.8790796e-08 0.0
1545.6 5.1818771e-08 0.0
1550.4 5.4929367e-08 0.0
1555.2 5.8124291e-08 0.0
1560.0 6.1405047e-08 0.0
1564.8 6.477308e-08 1.1592754e-11
1569.6 6.8230003e-08 2.9131793e-11
1574.4 7.1777374e-08 7.5894463e-11
1579.2 7.5416922e-08 1.3483807e-10
1584.0 7.9150387e-08 2.1766943e-10
1588.8 8.2979326e-08 3.1308532e-10
1593.6 8.6905312e-08 4.2093262e-10
1598.4 9.0930104e-08 5.4139629e-10
1603.2 9.5055415e-08 6.9814857e-10
1608.0 9.9282936e-08 8.6833552e-10
1612.8 1.0361443e-07 1.0749971e-09
1617.6 1.0805161e-07 1.2833568e-09
1622.4 1.1259606e-07 1.5052441e-09
1627.2 1.1724928e-07 1.7523979e-09
1632.0 1.2201265e-07 2.0137694e-09
1636.8 1.2688744e-07 2.2884805e-09
1641.6 1.3187498e-07 2.5941237e-09
1646.4 1.3697646e-07 2.9258493e-09
1651.2 1.4219306e-07 3.2890018e-09
1656.0 1.4752599e-07 3.6782654e-09
1660.8 1.5297645e-07 4.0873649e-09
1665.6 1.5854564e-07 4.5100374e-09
1670.4 1.642347e-07 4.9346933e-09
1675.2 1.7004472e-07 5.39635e-09
1680.0 1.7597671e-07 5.8719142e-09
1684.8 1.8203158e-07 6.3729213e-09
1689.6 1.8821011e-07 6.8887677e-09
1694.4 1.9451296e-07 7.4282945e-09
1699.2 2.0094064e-07 7.9747107e-09
1704.0 2.0749349e-07 8.5701858e-09
1708.8 2.1417177e-07 9.197364e-09
1713.6 2.2097561e-07 9.892844e-09
1718.4 2.2790504e-07 1.0640988e-08
1723.2 2.3496005e-07 1.1409155e-08
1728.0 2.4214056e-07 1.2215717e-08
1732.8 2.4944643e-07 1.3085204e-08
1737.6 2.5687751e-07 1.4016808e-08
1742.4 2.6443353e-07 1.4969891e-08
1747.2 2.7211416e-07 1.5963379e-08
1752.0 2.7991898e-07 1.6987751e-08
1756.8 2.8784741e-07 1.8043559e-08
1761.6 2.9589874e-07 1.9177965e-08
1766.4 3.0407212e-07 2.0345124e-08
1771.2 3.1236656e-07 2.1562966e-08
1776.0 3.2078094e-07 2.2846273e-08
1780.8 3.2931406e-07 2.4149826e-08
1785.6 3.3796462e-07 2.5502855e-08
1790.4 3.4673127e-07 2.6927824e-08
1795.2 3.5561264e-07 2.8380009e-08
1800.0 3.6460736e-07 2.9876091e-08
1804.8 3.7371402e-07 3.1437069e-08
1809.6 3.8293119e-07 3.3015422e-08
1814.4 3.9225743e-07 3.4649005e-08
1819.2 4.0169119e-07 3.6327502e-08
1824.0 4.1123085e-07 3.8044596e-08
1828.8 4.2087471e-07 3.9810825e-08
1833.6 4.3062097e-07 4.1633643e-08
1838.4 4.4046772e-07 4.3564156e-08
1843.2 4.5041297e-07 4.5574639e-08
1848.0 4.6045464e-07 4.7685245e-08
1852.8 4.7059064e-07 4.993377e-08
1857.6 4.8081885e-07 5.2284231e-08
1862.4 4.9113716e-07 5.4734377e-08
1867.2 5.015435e-07 5.7274965e-08
