# 1:time 2:flux 3:mass
0 0 0
4.8 0 0
9.6 0 0
14.4 0 0
19.2 0 0
24 0 0
28.8 0 0
33.6 0 0
38.4 0 0
43.2 0 0
48 0 0
52.8 0 0
57.6 0 0
62.4 0 0
67.2 0 0
72 0 0
76.8 0 0
81.6 0 0
86.4 0 0
91.2 0 0
96 0 0
100.8 0 0
105.6 0 0
110.4 0 0
115.2 0 0
120 0 0
124.8 0 0
129.6 0 0
134.4 0 0
139.2 0 0
144 0 0
148.8 0 0
153.6 0 0
158.4 0 0
163.2 0 0
168 0 0
172.8 0 0
177.6 0 0
182.4 0 0
187.2 0 0
192 0 0
196.8 0 0
201.6 0 0
206.4 0 0
211.2 0 0
216 0 0
220.8 0 0
225.6 0 0
230.4 0 0
235.2 0 0
240 0 0
244.8 0 0
249.6 0 0
254.4 0 0
259.2 0 0
264 0 0
268.8 0 0
273.6 0 0
278.4 0 0
283.2 0 0
288 0 0
292.8 0 0
297.6 0 0
302.4 0 0
307.2 0 0
312 0 0
316.8 0 0
321.6 0 0
326.4 0 0
331.2 0 0
336 0 0
340.8 0 0
345.6 0 0
350.4 0 0
355.2 0 0
360 0 0
364.8 0 0
369.6 0 0
374.4 0 0
379.2 0 0
384 0 0
388.8 0 0
393.6 0 0
398.4 0 0
403.2 0 0
408 0 0
412.8 0 0
417.6 0 0
422.4 0 0
427.2 0 0
432 0 0
436.8 0 0
441.6 0 0
446.4 0 0
451.2 0 0
456 0 0
460.8 0 0
465.6 0 0
470.4 0 0
475.2 0 0
480 0 0
484.8 0 0
489.6 0 0
494.4 0 0
499.2 0 0
504 0 0
508.8 0 0
513.6 0 0
518.4 0 0
523.2 0 0
528 0 0
532.8 0 0
537.6 0 0
542.4 0 0
547.2 0 0
552 0 0
556.8 0 0
561.6 0 0
566.4 0 0
571.2 0 0
576 0 0
580.8 0 0
585.6 0 0
590.4 0 0
595.2 0 0
600 0 0
604.8 0 0
609.6 0 0
614.4 0 0
619.2 0 0
624 0 0
628.8 0 0
633.6 0 0
638.4 0 0
643.2 0 0
648 0 0
652.8 0 0
657.6 0 0
662.4 0 0
667.2 0 0
672 0 0
676.8 0 0
681.6 0 0
686.4 0 0
691.2 0 0
696 0 0
700.8 0 0
705.6 0 0
710.4 0 0
715.2 0 0
720 0 0
724.8 0 0
729.6 0 0
734.4 0 0
739.2 0 0
744 0 0
748.8 0 0
753.6 0 0
758.4 0 0
763.2 0 0
768 0 0
772.8 0 0
777.6 0 0
782.4 0 0
787.2 0 0
792 0 0
796.8 0 0
801.6 0 0
806.4 0 0
811.2 0 0
816 0 0
820.8 0 0
825.6 0 0
830.4 0 0
835.2 0 0
840 0 0
844.8 0 0
849.6 0 0
854.4 0 0
859.2 0 0
864 0 0
868.8 0 0
873.6 0 0
878.4 0 0
883.2 0 0
888 0 0
892.8 0 0
897.6 0 0
902.4 0 0
907.2 0 0
912 0 0
916.8 0 0
921.6 0 0
926.4 0 0
931.2 0 0
936 0 0
940.8 0 0
945.6 0 0
950.4 0 0
955.2 0 0
960 0 0
964.8 0 0
969.6 0 0
974.4 0 0
979.2 0 0
984 0 0
988.8 0 0
993.6 0 0
998.4 0 0
1003.2 0 0
1008 0 0
1012.8 0 0
1017.6 0 0
1022.4 0 0
1027.2 0 0
1032 0 0
1036.8 0 0
1041.6 0 0
1046.4 0 0
1051.2 0 0
1056 0 0
1060.8 0 0
1065.6 0 0
1070.4 0 0
1075.2 0 0
1080 0 0
1084.8 0 0
1089.6 0 0
1094.4 0 0
1099.2 0 0
1104 0 0
1108.8 0 0
1113.6 0 0
1118.4 0 0
1123.2 0 0
1128 0 0
1132.8 0 0
1137.6 0 0
1142.4 0 0
1147.2 0 0
1152 0 0
1156.8 0 0
1161.6 0 0
1166.4 0 0
1171.2 0 0
1176 0 0
1180.8 0 0
1185.6 0 0
1190.4 0 0
1195.2 0 0
1200 0 0
1204.8 0 0
1209.6 0 0
1214.4 0 0
1219.2 0 0
1224 0 0
1228.8 0 0
1233.6 0 0
1238.4 0 0
1243.2 0 0
1248 0 0
1252.8 0 0
1257.6 0 0
1262.4 0 0
1267.2 0 0
1272 0 0
1276.8 0 0
1281.6 0 0
1286.4 0 0
1291.2 0 0
1296 0 0
1300.8 0 0
1305.6 0 0
1310.4 0 0
1315.2 0 0
1320 0 0
1324.8 0 0
1329.6 0 0
1334.4 0 0
1339.2 0 0
1344 0 0
1348.8 0 0
1353.6 0 0
1358.4 0 0
1363.2 0 0
1368 0 0
1372.8 0 0
1377.6 0 0
1382.4 0 0
1387.2 0 0
1392 0 0
1396.8 0 0
1401.6 0 0
1406.4 0 0
1411.2 0 0
1416 0 0
1420.8 0 0
1425.6 0 0
1430.4 0 0
1435.2 0 0
1440 0 0
1444.8 0 0
1449.6 0 0
1454.4 0 0
1459.2 0 0
1464 0 0
1468.8 0 0
1473.6 0 0
1478.4 0 0
1483.2 0 0
1488 0 0
1492.8 0 0
1497.6 0 0
1502.4 0 0
1507.2 0 0
1512 0 0
1516.8 0 0
1521.6 0 0
1526.4 0 0
1531.2 0 0
1536 0 0
1540.8 0 0
1545.6 0 0
1550.4 0 0
1555.2 0 0
1560 0 0
1564.8 0 0
1569.6 0 0
1574.4 0 0
1579.2 0 0
1584 0 0
1588.8 0 0
1593.6 0 0
1598.4 0 0
1603.2 0 0
1608 0 0
1612.8 0 0
1617.6 0 0
1622.4 0 0
1627.2 0 0
1632 0 0
1636.8 0 0
1641.6 0 0
1646.4 0 0
1651.2 0 0
1656 0 0
1660.8 0 0
1665.6 0 0
1670.4 0 0
1675.2 0 0
1680 0 0
1684.8 0 0
1689.6 0 0
1694.4 0 0
1699.2 0 0
1704 0 0
1708.8 0 0
1713.6 0 0
1718.4 0 0
1723.2 0 0
1728 0 0
1732.8 0 0
1737.6 0 0
1742.4 0 0
1747.2 0 0
1752 0 0
1756.8 0 0
1761.6 0 0
1766.4 0 0
1771.2 0 0
1776 0 0
1780.8 0 0
1785.6 0 0
1790.4 0 0
1795.2 0 0
1800 0 0
1804.8 0 0
1809.6 0 0
1814.4 0 0
1819.2 0 0
1824 0 0
1828.8 0 0
1833.6 0 0
1838.4 0 0
1843.2 0 0
1848 0 0
1852.8 0 0
1857.6 0 0
1862.4 0 0
1867.2 0 0
1872 0 0
1876.8 0 0
1881.6 0 0
1886.4 0 0
1891.2 0 0
1896 0 0
1900.8 0 0
1905.6 0 0
1910.4 0 0
1915.2 0 0
1920 0 0
1924.8 0 0
1929.6 0 0
1934.4 0 0
1939.2 0 0
1944 0 0
1948.8 0 0
1953.6 0 0
1958.4 0 0
1963.2 0 0
1968 0 0
1972.8 0 0
1977.6 0 0
1982.4 0 0
1987.2 0 0
1992 0 0
1996.8 0 0
2001.6 0 0
2006.4 0 0
2011.2 0 0
2016 0 0
2020.8 0 0
2025.6 0 0
2030.4 0 0
2035.2 0 0
2040 0 0
2044.8 0 0
2049.6 0 0
2054.4 0 0
2059.2 0 0
2064 0 0
2068.8 0 0
2073.6 0 0
2078.4 0 0
2083.2 0 0
2088 0 0
2092.8 0 0
2097.6 0 0
2102.4 0 0
2107.2 0 0
2112 0 0
2116.8 0 0
2121.6 0 0
2126.4 0 0
2131.2 0 0
2136 0 0
2140.8 0 0
2145.6 0 0
2150.4 0 0
2155.2 0 0
2160 0 0
2164.8 0 0
2169.6 0 0
2174.4 0 0
2179.2 0 0
2184 0 0
2188.8 0 0
2193.6 0 0
2198.4 0 0
2203.2 0 0
2208 0 0
2212.8 0 0
2217.6 0 0
2222.4 0 0
2227.2 0 0
2232 0 0
2236.8 0 0
2241.6 0 0
2246.4 0 0
2251.2 0 0
2256 0 0
2260.8 0 0
2265.6 0 0
2270.4 0 0
2275.2 0 0
2280 0 0
2284.8 0 0
2289.6 0 0
2294.4 0 0
2299.2 0 0
2304 0 0
2308.8 0 0
2313.6 0 0
2318.4 0 0
2323.2 0 0
2328 0 0
2332.8 0 0
2337.6 0 0
2342.4 0 0
2347.2 0 0
2352 0 0
2356.8 0 0
2361.6 0 0
2366.4 0 0
2371.2 0 0
2376 0 0
2380.8 0 0
2385.6 0 0
2390.4 0 0
2395.2 0 0
2400 0 0
2404.8 0 0
2409.6 0 0
2414.4 0 0
2419.2 0 0
2424 0 0
2428.8 0 0
2433.6 0 0
2438.4 0 0
2443.2 0 0
2448 0 0
2452.8 0 0
2457.6 0 0
2462.4 0 0
2467.2 0 0
2472 0 0
2476.8 0 0
2481.6 0 0
2486.4 0 0
2491.2 0 0
2496 0 0
2500.8 0 0
2505.6 0 0
2510.4 0 0
2515.2 0 0
2520 0 0
2524.8 0 0
2529.6 0 0
2534.4 0 0
2539.2 0 0
2544 0 0
2548.8 0 0
2553.6 0 0
2558.4 0 0
2563.2 0 0
2568 0 0
2572.8 0 0
2577.6 0 0
2582.4 0 0
2587.2 0 0
2592 0 0
2596.8 0 0
2601.6 0 0
2606.4 0 0
2611.2 0 0
2616 0 0
2620.8 0 0
2625.6 0 0
2630.4 0 0
2635.2 0 0
2640 0 0
2644.8 0 0
2649.6 0 0
2654.4 0 0
2659.2 0 0
2664 0 0
2668.8 0 0
2673.6 0 0
2678.4 0 0
2683.2 0 0
2688 0 0
2692.8 0 0
2697.6 0 0
2702.4 0 0
2707.2 0 0
2712 0 0
2716.8 0 0
2721.6 0 0
