# 1:t 2:E_GW_dot 3:E_GW 4:J_GW_dot 5:J_GW
0.0 0.0 0.0 0.0 0.0
2.4 2.57909521962e-45 3.09491426354e-45 2.09670127927e-43 2.51604153512e-43
4.8 3.19360578024e-27 3.83232693629e-27 2.63045402532e-25 3.15654483038e-25
7.2 3.41641916568e-21 4.09971066347e-21 2.84974872758e-19 3.41970478619e-19
9.6 3.52483514692e-18 4.23800158997e-18 2.97620519112e-16 3.57828563261e-16
12.0 2.26227173619e-16 2.79940412109e-16 1.93266824529e-14 2.39069921297e-14
14.4 3.62224771978e-15 4.89811028419e-15 3.1294996385e-13 4.22638967694e-13
16.8 2.62393345837e-14 4.07320090483e-14 2.29151961283e-12 3.54800245971e-12
19.2 1.15806229416e-13 2.11186685848e-13 1.02178215872e-11 1.85592118998e-11
21.6 3.67395718655e-13 7.91029023533e-13 3.27332086291e-11 7.01004481593e-11
24.0 9.25243186402e-13 2.3421957096e-12 8.31958068008e-11 2.09215266675e-10
26.4 1.97027082113e-12 5.81681251864e-12 1.78696852941e-10 5.23486458365e-10
28.8 3.70026292856e-12 1.26214530183e-11 3.38310911201e-10 1.14389577533e-09
31.2 6.31012479677e-12 2.46339182887e-11 5.8123980244e-10 2.2473566317e-09
33.6 9.97669741116e-12 4.41781049382e-11 9.25285959073e-10 4.05518754552e-09
36.0 1.48494735291e-11 7.39695100665e-11 1.38582416586e-09 6.82851969544e-09
38.4 2.10466865454e-11 1.17044902156e-10 1.97526258056e-09 1.08618237912e-08
40.8 2.8655354955e-11 1.76687351956e-10 2.70289335255e-09 1.64756109109e-08
43.2 3.77339189372e-11 2.56354480627e-10 3.57501821319e-09 2.40091047898e-08
45.6 4.83161505803e-11 3.59614564048e-10 4.59523651178e-09 3.38134104598e-08
48.0 6.04156292145e-11 4.90092699802e-10 5.76482055656e-09 4.62454789418e-08
50.4 7.40300147131e-11 6.51427472515e-10 7.08311005168e-09 6.16629956717e-08
52.8 8.91450664088e-11 8.47237569861e-10 8.54790170973e-09 8.04202097854e-08
55.2 1.05737927031e-10 1.08109716199e-09 1.01557965018e-08 1.02864647639e-07
57.6 1.23780035407e-10 1.35651871691e-09 1.19025143539e-08 1.29334620666e-07
60.0 1.432392082e-10 1.67694180924e-09 1.37831491651e-08 1.60157416889e-07
62.4 1.64081519086e-10 2.04572668199e-09 1.57923939472e-08 1.95648068623e-07
64.8 1.86272384055e-10 2.46615136576e-09 1.79247067894e-08 2.36108589507e-07
67.2 2.09777689237e-10 2.94141145371e-09 2.01744604817e-08 2.81827590233e-07
69.6 2.34564164789e-10 3.47462167854e-09 2.25360377504e-08 3.33080188111e-07
72.0 2.6060003741e-10 4.06881872117e-09 2.50039254615e-08 3.90128143966e-07
74.4 2.87854934215e-10 4.72696468712e-09 2.75727588063e-08 4.53220165087e-07
76.8 3.16300277802e-10 5.45195094154e-09 3.02373789552e-08 5.22592330401e-07
79.2 3.45908889381e-10 6.24660194216e-09 3.29928416503e-08 5.98468595127e-07
81.6 3.76655268573e-10 7.11367893171e-09 3.58344518967e-08 6.81061347384e-07
84.0 4.08515014807e-10 8.05588327176e-09 3.87577497702e-08 7.70571989384e-07
86.4 4.4146508868e-10 9.07585939595e-09 4.17585322109e-08 8.67191527761e-07
88.8 4.7548311638e-10 1.0176197242e-08 4.48328232533e-08 9.71101154318e-07
91.2 5.10547681101e-10 1.1359434199e-08 4.79768897587e-08 1.08247280993e-06
93.6 5.46637556607e-10 1.26280564842e-08 5.11872022742e-08 1.20146972037e-06
96.0 5.83732064147e-10 1.39845000292e-08 5.44604486482e-08 1.32824690148e-06
98.4 6.21810241403e-10 1.54311507958e-08 5.77934879599e-08 1.46295162541e-06
100.8 6.60851272192e-10 1.69703446121e-08 6.11833649743e-08 1.60572384893e-06
103.2 7.00833616325e-10 1.86043664783e-08 6.46272600749e-08 1.75669659899e-06
105.6 7.41735527323e-10 2.03354494507e-08 6.81225059755e-08 1.91599631825e-06
108.0 7.83534146196e-10 2.21657730589e-08 7.16665350867e-08 2.08374316752e-06
110.4 8.26206067612e-10 2.40974613155e-08 7.52568976482e-08 2.26005128681e-06
112.8 8.69726306596e-10 2.61325801646e-08 7.88912030524e-08 2.44502900765e-06
115.2 9.14068913151e-10 2.82731344283e-08 8.25671400975e-08 2.63877901943e-06
117.6 9.59206051607e-10 3.0521064386e-08 8.62824229353e-08 2.84139849507e-06
120.0 1.00510900283e-09 3.28782424513e-08 9.00348283198e-08 3.05297919657e-06
122.4 1.05174733712e-09 3.53464700592e-08 9.38221473557e-08 3.27360756738e-06
124.8 1.09908961572e-09 3.79274744026e-08 9.76422102918e-08 3.50336479656e-06
127.2 1.14710200309e-09 4.06229043452e-08 1.01492812531e-07 3.74232682395e-06
129.6 1.19574903919e-09 4.3434325596e-08 1.05371741204e-07 3.99056428843e-06
132.0 1.24499274644e-09 4.63632157387e-08 1.09276725155e-07 4.24814244806e-06
134.4 1.29479378049e-09 4.9410959571e-08 1.13205480716e-07 4.51512109511e-06
136.8 1.34511024008e-09 5.25788443957e-08 1.17155647799e-07 4.79155444933e-06
139.2 1.39589855466e-09 5.58680549494e-08 1.21124821456e-07 5.07749101243e-06
141.6 1.44711233195e-09 5.92796680133e-08 1.25110492485e-07 5.37297338916e-06
144.0 1.49870355769e-09 6.28146470809e-08 1.2911009541e-07 5.67803809464e-06
146.4 1.55062147959e-09 6.64738371256e-08 1.33120951915e-07 5.99271535142e-06
148.8 1.60281378962e-09 7.02579594487e-08 1.37140314711e-07 6.31702887138e-06
151.2 1.65522543326e-09 7.41676065162e-08 1.41165300344e-07 6.65099560944e-06
153.6 1.70779957786e-09 7.82032365295e-08 1.45192920367e-07 6.99462547429e-06
156.0 1.76047584812e-09 8.23651670407e-08 1.49220006162e-07 7.34792098613e-06
158.4 1.81319123627e-09 8.6653567542e-08 1.5324326712e-07 7.71087691407e-06
160.8 1.86587955375e-09 9.106845249e-08 1.57259267004e-07 8.08347995502e-06
163.2 1.91847443353e-09 9.56096772747e-08 1.61264521062e-07 8.4657085007e-06
165.6 1.97090962715e-09 1.00276938148e-07 1.65255465124e-07 8.85753248412e-06
168.0 2.02311987509e-09 1.0506977355e-07 1.69228474386e-07 9.25891321153e-06
170.4 2.07503635195e-09 1.09987561023e-07 1.7317970547e-07 9.66980302736e-06
172.8 2.12658418503e-09 1.15029505667e-07 1.77105047133e-07 1.00901447305e-05
175.2 2.17768105304e-09 1.20194623953e-07 1.81000063117e-07 1.05198708628e-05
177.6 2.22824362186e-09 1.25481733563e-07 1.84860183464e-07 1.09589031587e-05
