# 1:freq 2:Re 3:Im
23.2258964707 3.2241993523e-06 1.29037731588e-20
46.4517929414 2.16267995073e-06 6.38815327325e-21
69.6776894121 1.64236197768e-06 6.02064728541e-21
92.9035858828 1.44459595384e-06 7.47053884591e-21
116.129482354 1.07956357301e-06 1.56292431223e-21
139.355378824 6.54555783428e-07 3.62782407093e-21
162.581275295 5.58686299653e-07 4.23706346685e-21
185.807171766 4.08292780394e-07 1.3812701047e-20
209.033068236 4.15067967394e-07 4.46832476195e-21
232.258964707 1.83845314765e-07 5.45222359373e-21
255.484861178 4.82574956646e-07 7.83508705529e-21
278.710757648 1.15884003602e-06 5.50104545122e-22
301.936654119 1.55851997791e-06 5.77022476855e-21
325.16255059 1.61650120184e-06 5.43535738757e-21
348.388447061 1.39236297033e-06 4.70786729273e-21
371.614343531 1.40609248597e-06 9.92014571023e-22
394.840240002 2.26723870748e-06 4.13823542607e-21
418.066136473 2.9182543829e-06 2.32307359569e-21
441.292032943 2.46121238505e-06 6.69621208393e-21
464.517929414 1.3247271506e-06 2.05997673737e-21
487.743825885 1.65197086824e-06 3.1301349568e-21
510.969722355 3.13009921272e-06 7.75628636289e-21
534.195618826 3.96861834947e-06 1.26250324797e-20
557.421515297 3.54491673902e-06 3.34633152905e-21
580.647411768 2.17968726409e-06 4.63612511418e-21
603.873308238 2.86757293988e-06 4.04014170216e-21
627.099204709 5.17976833949e-06 9.16939754974e-21
650.32510118 7.07988684986e-06 4.72810751928e-21
673.55099765 6.32913215425e-06 1.28454002265e-20
696.776894121 4.27414657573e-06 5.35555624566e-21
720.002790592 1.41369152266e-06 1.62183198189e-20
743.228687063 1.86166941483e-06 1.36477674851e-20
766.454583533 5.74126471528e-06 6.13818435943e-21
789.680480004 8.33071408134e-06 1.58278230757e-20
812.906376475 9.88782402046e-06 1.1116542851e-20
836.132272945 9.84294607361e-06 1.17876339151e-21
859.358169416 1.21738783121e-05 7.80949699383e-21
882.584065887 1.49308060611e-05 1.37652698368e-20
905.809962357 1.41716131069e-05 1.10115407692e-20
929.035858828 1.33475505363e-05 6.90183316393e-21
952.261755299 1.2170629091e-05 1.16224850298e-20
975.48765177 1.39053983311e-05 2.74827368231e-21
998.71354824 1.53128209481e-05 1.34370691366e-20
1021.93944471 1.56061008087e-05 1.18852764559e-21
1045.16534118 1.49698563761e-05 3.19208858157e-21
1068.39123765 1.523517061e-05 1.6147771936e-21
1091.61713412 1.80015084006e-05 7.87692894041e-21
1114.84303059 1.85859182341e-05 4.21455767286e-21
1138.06892706 1.81438727706e-05 6.63751589302e-21
1161.29482354 2.17132156918e-05 3.22594160507e-21
1184.52072001 2.16705966272e-05 2.4593603475e-21
1207.74661648 2.12625363089e-05 7.92368756003e-21
1230.97251295 1.8302384077e-05 1.31073191737e-20
1254.19840942 1.72165523025e-05 2.86441559121e-21
1277.42430589 1.46428747508e-05 1.07528305878e-20
1300.65020236 1.09717486583e-05 4.500127753e-21
1323.87609883 6.13167901911e-06 1.0636089582e-20
1347.1019953 3.8511638405e-06 5.42723597064e-21
1370.32789177 3.4084190311e-06 3.38469657189e-21
1393.55378824 6.55535710556e-06 2.64361156381e-21
1416.77968471 9.39391525365e-06 4.46665104819e-21
1440.00558118 7.66593001118e-06 1.21499644337e-20
1463.23147765 6.48920447511e-06 5.83102233068e-21
1486.45737413 1.0590305545e-05 5.90407686445e-21
1509.6832706 1.06588360291e-05 4.42114102006e-21
1532.90916707 7.84109916198e-06 1.38803826378e-21
1556.13506354 5.50425991475e-06 6.83180822751e-21
1579.36096001 6.1879590499e-06 4.20609916301e-21
1602.58685648 8.49388263118e-06 2.17552074172e-21
1625.81275295 7.08764824293e-06 7.54859149799e-21
1649.03864942 4.22597619144e-06 5.06150433166e-21
1672.26454589 5.11800787546e-06 5.97887615072e-22
1695.49044236 6.90238100398e-06 3.62779910723e-21
1718.71633883 8.47113949099e-06 2.83251253559e-21
1741.9422353 4.14153894361e-06 2.41830612908e-21
1765.16813177 5.15390071334e-06 2.80197415338e-21
1788.39402824 7.94790705453e-06 5.03966198395e-21
1811.61992471 8.91633855222e-06 2.26990423109e-21
1834.84582119 4.0763976076e-06 2.82919471316e-21
1858.07171766 4.16507171186e-06 5.73845174976e-21
1881.29761413 8.12778557716e-06 5.80488934181e-21
1904.5235106 8.90097196828e-06 3.77119480683e-22
1927.74940707 4.83181300142e-06 1.80378471445e-21
1950.97530354 2.14334486356e-06 1.05676383377e-21
1974.20120001 5.85549918055e-06 2.79384372724e-21
1997.42709648 9.09817028264e-06 3.02456434751e-21
2020.65299295 7.99418505328e-06 7.93601868268e-22
2043.87888942 6.00219604471e-06 1.09292405645e-21
2067.10478589 8.54301024114e-06 4.71080869629e-21
2090.33068236 1.20466936212e-05 1.95618868541e-21
2113.55657883 1.28889196061e-05 4.96454770007e-21
2136.7824753 6.41478625633e-06 1.64735207002e-21
2160.00837178 7.95861807946e-06 1.86870492888e-21
2183.23426825 9.02844064357e-06 3.70177476592e-21
2206.46016472 8.31586302128e-06 1.41115545584e-21
2229.68606119 3.12877781371e-06 1.340516426e-21
2252.91195766 1.78409863202e-06 7.5733285807e-22
2276.13785413 4.85397685065e-06 3.17538897658e-21
2299.3637506 5.4190553217e-06 1.57091409423e-21
2322.58964707 3.49930668529e-06 2.91169382777e-21
2345.81554354 6.74298287726e-06 4.85135264238e-23
2369.04144001 2.07143678148e-06 2.50643325333e-21
2392.26733648 3.61396696645e-06 3.18449601126e-21
2415.49323295 8.31839471799e-06 8.24791291914e-22
2438.71912942 8.82788000933e-06 2.61567080819e-21
2461.94502589 4.35046955025e-06 2.53281768403e-21
2485.17092237 3.68912622921e-06 9.29704235099e-22
2508.39681884 7.9680644804e-06 1.7855532362e-21
2531.62271531 8.75839228577e-06 2.42508573848e-21
2554.84861178 5.68691745563e-06 1.70911480604e-21
2578.07450825 7.48308047382e-07 2.74601825908e-21
2601.30040472 5.61603862103e-06 2.58224084537e-21
2624.52630119 7.931810744e-06 1.33783396244e-21
2647.75219766 6.05266494906e-06 1.90489721347e-21
2670.97809413 2.38170879351e-06 1.88694694475e-21
2694.2039906 2.7373409072e-06 1.50556956248e-21
2717.42988707 5.14020851793e-06 3.82320383969e-21
2740.65578354 6.03896965954e-06 6.5839232261e-22
2763.88168001 4.88283908342e-06 8.40685680757e-22
2787.10757648 3.17899505969e-06 1.24096234689e-21
2810.33347296 2.54658292646e-06 2.39944387899e-21
2833.55936943 4.76624858952e-06 1.17304557732e-21
