# 1:time 2:Re 3:Im
0.0 6.12418419519e-11 -1.06209141488e-09
2.4 6.07733628245e-11 -1.07548716114e-09
4.8 6.05454074306e-11 -1.08677895185e-09
7.2 6.03829494512e-11 -1.09814317627e-09
9.6 6.04416755611e-11 -1.10975423963e-09
12.0 6.05977532752e-11 -1.1215217311e-09
14.4 6.06181743221e-11 -1.13328679845e-09
16.8 6.06405630953e-11 -1.1449493015e-09
19.2 6.06914933779e-11 -1.15653925727e-09
21.6 6.06176720991e-11 -1.1682110357e-09
24.0 6.06162332644e-11 -1.17991683694e-09
26.4 6.06656249097e-11 -1.19157312209e-09
28.8 6.0686500772e-11 -1.20315426178e-09
31.2 6.06321044876e-11 -1.21466609357e-09
33.6 6.06442825341e-11 -1.22610798718e-09
36.0 6.07264235319e-11 -1.23734727698e-09
38.4 6.07626671286e-11 -1.24829514404e-09
40.8 6.08338526207e-11 -1.25896100938e-09
43.2 6.07512450372e-11 -1.26926719925e-09
45.6 6.08249816279e-11 -1.27922346242e-09
48.0 6.08406046761e-11 -1.28869316337e-09
50.4 6.08197857661e-11 -1.29760684285e-09
52.8 6.08784136546e-11 -1.30585181017e-09
55.2 6.10340431445e-11 -1.31325894793e-09
57.6 6.09935318764e-11 -1.31975002339e-09
60.0 6.0972484479e-11 -1.32491217582e-09
62.4 6.10658921067e-11 -1.32858865887e-09
64.8 6.0962638292e-11 -1.33088622017e-09
67.2 6.10290150842e-11 -1.33157346639e-09
69.6 6.10965780824e-11 -1.33079689168e-09
72.0 6.09922009963e-11 -1.32903729879e-09
74.4 6.10695039272e-11 -1.32676161923e-09
76.8 6.11597928417e-11 -1.32462683545e-09
79.2 6.10520110653e-11 -1.32335199264e-09
81.6 6.09150749696e-11 -1.32366660509e-09
84.0 6.08433761673e-11 -1.32620959766e-09
86.4 6.10195132929e-11 -1.33111033316e-09
88.8 6.11047100018e-11 -1.33816328379e-09
91.2 6.1081918315e-11 -1.34731302438e-09
93.6 6.12068811708e-11 -1.35791741361e-09
96.0 6.1327875491e-11 -1.36916996444e-09
98.4 6.13953162251e-11 -1.38044558689e-09
100.8 6.11801170441e-11 -1.39104957321e-09
103.2 6.09166672873e-11 -1.40093201046e-09
105.6 6.13216726189e-11 -1.41028368063e-09
108.0 6.23622221955e-11 -1.41920976468e-09
110.4 6.25393386279e-11 -1.42774177194e-09
112.8 6.15368503927e-11 -1.434748693e-09
115.2 6.10621830338e-11 -1.43862944757e-09
117.6 6.18515641669e-11 -1.44025523758e-09
120.0 6.24060333088e-11 -1.44295351144e-09
122.4 6.14769254768e-11 -1.44958274781e-09
124.8 5.99493512376e-11 -1.45945760196e-09
127.2 5.93999172367e-11 -1.46904087844e-09
129.6 5.99463834154e-11 -1.47636077013e-09
