# 1:time 2:Re 3:Im 4:phi 5:omega 6:E_dot_GW 7:E_GW 8:J_dot_GW 9:J_GW
0.0 0.0 0.0 -0.0 -4.57420737007e-14 0.0 0.0 0.0 0.0
2.4 1.29937432823e-23 9.74235152905e-37 -7.49772511079e-14 -1.67389688893e-14 3.39952601957e-49 4.07943122349e-49 -0.0 0.0
4.8 1.35283336422e-14 1.08696170861e-27 -8.03470506685e-14 2.09907763288e-15 4.21387421812e-31 5.05664906175e-31 -0.0 0.0
7.2 1.29189542759e-11 8.38461816582e-25 -6.49016784701e-14 5.72993343775e-16 4.5107347039e-25 5.41289175797e-25 -0.0 0.0
9.6 3.77016695321e-10 2.92552448486e-23 -7.75966826183e-14 -3.99287441548e-16 4.65510095626e-22 5.59694692092e-22 -0.0 0.0
12.0 2.68941073736e-09 1.79701741027e-22 -6.68182581895e-14 -3.88235859347e-15 2.98743480453e-20 3.69675244612e-20 -0.0 0.0
14.4 9.33322441404e-09 8.98154887903e-22 -9.6232003867e-14 -9.40320842167e-15 4.7813831444e-19 6.46582719444e-19 -0.0 0.0
16.8 2.1008766014e-08 2.35200821822e-21 -1.11953658614e-13 -2.50206799668e-14 3.46109621251e-18 5.37366415178e-18 -0.0 0.0
19.2 3.49682213878e-08 7.5647196623e-21 -2.16331267708e-13 -4.22143551607e-14 1.52596307052e-17 2.7838536453e-17 -0.0 0.0
21.6 4.50710237409e-08 1.41785581828e-20 -3.14582563385e-13 -8.62420230399e-14 4.83462228933e-17 1.04165560771e-16 -0.0 0.0
24.0 4.29146795998e-08 2.70488212177e-20 -6.30292978299e-13 -2.60490768853e-13 1.21552599573e-16 3.0804414773e-16 -0.0 0.0
26.4 1.91581007004e-08 2.99812446578e-20 -1.56493825388e-12 -0.654498469498 2.58330715325e-16 7.63904125607e-16 -0.0 0.0
28.8 -3.54038381894e-08 3.75824940694e-20 -3.14159265359 -0.654498469497 4.84045147769e-16 1.65475516132e-15 0.0 0.0
31.2 -1.29119439253e-07 3.49015982484e-20 -3.14159265359 -1.9327132487e-13 8.23296916396e-16 3.22356563832e-15 0.0 0.0
33.6 -2.69068084472e-07 3.60040562119e-20 -3.14159265359 -4.09857333257e-14 1.29788116949e-15 5.76897934139e-15 0.0 0.0
36.0 -4.60872459132e-07 3.38482740824e-20 -3.14159265359 -1.35077134663e-14 1.92555862396e-15 9.63710709353e-15 0.0 0.0
38.4 -7.08656804644e-07 4.90063577752e-20 -3.14159265359 -5.45859653774e-15 2.71957143354e-15 1.52112631625e-14 0.0 0.0
40.8 -1.01509232566e-06 4.77773934701e-20 -3.14159265359 -5.64363370851e-15 3.68870517658e-15 2.29011950947e-14 0.0 0.0
43.2 -1.38149016204e-06 5.76384027441e-20 -3.14159265359 -9.25185853854e-16 4.83771200355e-15 3.31328957109e-14 0.0 0.0
45.6 -1.80791685566e-06 7.76435631527e-20 -3.14159265359 2.77555756156e-16 6.16790591348e-15 4.63396372113e-14 0.0 0.0
48.0 -2.29331661921e-06 9.87144721617e-20 -3.14159265359 4.62592926927e-16 7.67784501587e-15 6.29545383265e-14 0.0 0.0
50.4 -2.83563107322e-06 1.27122942936e-19 -3.14159265359 -2.49800180541e-15 9.36397957704e-15 8.3404727838e-14 0.0 0.0
52.8 -3.43191274965e-06 1.07446939636e-19 -3.14159265359 -3.60822483003e-15 1.12212598968e-14 1.08107015207e-13 0.0 0.0
55.2 -4.07843194131e-06 1.13656681258e-19 -3.14159265359 -1.20274161001e-15 1.32436123572e-14 1.37464861911e-13 0.0 0.0
57.6 -4.77077698179e-06 1.20627908386e-19 -3.14159265359 -9.25185853854e-17 1.54243668294e-14 1.71866436935e-13 0.0 0.0
60.0 -5.50394632779e-06 1.48633194126e-19 -3.14159265359 -9.25185853854e-17 1.77565693028e-14 2.11683560294e-13 0.0 0.0
62.4 -6.27243056604e-06 1.56149261893e-19 -3.14159265359 1.11022302463e-15 2.02332994692e-14 2.5727140282e-13 0.0 0.0
64.8 -7.07028519521e-06 2.31639699007e-19 -3.14159265359 2.12792746386e-15 2.2847832623e-14 3.08968761331e-13 0.0 0.0
67.2 -7.89120024202e-06 2.78378700825e-19 -3.14159265359 -4.62592926927e-16 2.55937501267e-14 3.6709866063e-13 0.0 0.0
69.6 -8.72856918856e-06 2.6285494158e-19 -3.14159265359 -1.57281595155e-15 2.84649487697e-14 4.31969099306e-13 0.0 0.0
72.0 -9.57555064713e-06 2.64443255605e-19 -3.14159265359 -6.47630097698e-16 3.14557932207e-14 5.03873989694e-13 0.0 0.0
74.4 -1.04251229217e-05 2.8526419735e-19 -3.14159265359 3.70074341542e-16 3.4561071975e-14 5.83094227929e-13 0.0 0.0
76.8 -1.1270138417e-05 3.29255193743e-19 -3.14159265359 6.47630097698e-16 3.77759738682e-14 6.69898682941e-13 0.0 0.0
79.2 -1.21033781642e-05 3.67244013979e-19 -3.14159265359 -9.25185853854e-17 4.10959915932e-14 7.64545041495e-13 0.0 0.0
81.6 -1.29175991692e-05 3.74160622794e-19 -3.14159265359 -3.70074341542e-16 4.45170283603e-14 8.67280665439e-13 0.0 0.0
84.0 -1.37055797677e-05 3.92016001324e-19 -3.14159265359 1.85037170771e-16 4.80351649335e-14 9.78343297391e-13 0.0 0.0
86.4 -1.44601692203e-05 4.29410218263e-19 -3.14159265359 -3.70074341542e-16 5.16465983907e-14 1.09796141338e-12 0.0 0.0
88.8 -1.51743356172e-05 4.04464830905e-19 -3.14159265359 -1.11022302463e-15 5.53475217695e-14 1.22635435757e-12 0.0 0.0
91.2 -1.58412069882e-05 3.90866993485e-19 -3.14159265359 -4.62592926927e-16 5.91342208977e-14 1.36373244877e-12 0.0 0.0
93.6 -1.64541113876e-05 4.0356859365e-19 -3.14159265359 -6.47630097698e-16 6.30028068517e-14 1.51029688207e-12 0.0 0.0
96.0 -1.70066173448e-05 3.64765690466e-19 -3.14159265359 -1.48029736617e-15 6.69492784564e-14 1.66623938444e-12 0.0 0.0
98.4 -1.74925704159e-05 3.04047346532e-19 -3.14159265359 -7.40148683083e-16 7.09693539382e-14 1.83174174332e-12 0.0 0.0
100.8 -1.79061283602e-05 3.22751103413e-19 -3.14159265359 1.85037170771e-16 7.50584692534e-14 2.00697513115e-12 0.0 0.0
103.2 -1.82417998475e-05 3.37950386462e-19 -3.14159265359 1.85037170771e-16 7.92114458144e-14 2.19209902923e-12 0.0 0.0
105.6 -1.84944799057e-05 3.44294166683e-19 -3.14159265359 6.47630097698e-16 8.34227366977e-14 2.38726004824e-12 0.0 0.0
108.0 -1.8659478072e-05 4.00220114665e-19 -3.14159265359 5.55111512313e-16 8.76862384133e-14 2.59259081838e-12 0.0 0.0
110.4 -1.87325461653e-05 3.9995750581e-19 -3.14159265359 7.40148683083e-16 9.19953442574e-14 2.80820871758e-12 0.0 0.0
112.8 -1.8709909832e-05 4.63984499388e-19 -3.14159265359 1.2952601954e-15 9.63424881571e-14 3.03421411648e-12 0.0 0.0
115.2 -1.85883031646e-05 5.1725911012e-19 -3.14159265359 1.11022302463e-15 1.0071932594e-13 3.27068829339e-12 0.0 0.0
117.6 -1.83649917373e-05 5.59838965942e-19 -3.14159265359 -1.85037170771e-16 1.05116912478e-13 3.51769177949e-12 0.0 0.0
120.0 -1.80377769964e-05 4.85389308153e-19 -3.14159265359 0.0 1.09526347404e-13 3.77526369135e-12 0.0 0.0
122.4 -1.7604998287e-05 5.34021249371e-19 -3.14159265359 1.85037170771e-16 1.13938028306e-13 4.0434209422e-12 0.0 0.0
124.8 -1.70655679403e-05 4.68761899459e-19 -3.14159265359 0.0 1.18340683446e-13 4.32215539631e-12 0.0 0.0
127.2 -1.64190185635e-05 5.01049265826e-19 -3.14159265359 9.25185853854e-17 1.22721711522e-13 4.61143027027e-12 0.0 0.0
129.6 -1.56654944568e-05 4.43228023675e-19 -3.14159265359 8.32667268469e-16 1.27069527019e-13 4.91117975652e-12 0.0 0.0
132.0 -1.48057144655e-05 5.05607804906e-19 -3.14159265359 1.85037170771e-16 1.31372470376e-13 5.22131015339e-12 0.0 0.0
134.4 -1.38410034811e-05 4.00402595252e-19 -3.14159265359 1.48029736617e-15 1.35616534579e-13 5.54169695934e-12 0.0 0.0
136.8 -1.27733470762e-05 5.2989228769e-19 -3.14159265359 1.94289029309e-15 1.39786360609e-13 5.87218043356e-12 0.0 0.0
139.2 -1.16053675576e-05 4.45430782448e-19 -3.14159265359 5.55111512313e-16 1.43868114363e-13 6.21256580353e-12 0.0 0.0
141.6 -1.03402835307e-05 4.57882727601e-19 -3.14159265359 -1.94289029309e-15 1.4784776648e-13 6.56262486054e-12 0.0 0.0
144.0 -8.98191198431e-06 2.61273259827e-19 -3.14159265359 -2.68303897618e-15 1.51711349328e-13 6.92209579951e-12 0.0 0.0
146.4 -7.53462722344e-06 2.35399477591e-19 -3.14159265359 -3.23815048849e-15 1.55446327129e-13 7.29068501126e-12 0.0 0.0
148.8 -6.0033631725e-06 8.14476376669e-20 -3.14159265359 -7.03141248929e-15 1.59036708627e-13 7.66806465417e-12 0.0 0.0
151.2 -4.39376926842e-06 -1.20747160539e-20 -3.14159265359 -5.36607795235e-15 1.62459380696e-13 8.05385996135e-12 0.0 0.0
153.6 -2.71227413645e-06 -3.37138822071e-20 -3.14159265359 -1.23974904416e-14 1.65694122659e-13 8.44764416538e-12 0.0 0.0
156.0 -9.65819593078e-07 -5.99823705058e-20 -3.14159265359 -0.654498469498 1.68735446917e-13 8.84895964887e-12 0.0 0.0
158.4 8.38549170637e-07 -1.35887377849e-19 -6.28318530718 -0.654498469498 1.71590444736e-13 9.25735071885e-12 -0.0 0.0
160.8 2.69374568114e-06 -2.16115643368e-19 -6.28318530718 -2.51650552248e-14 1.74256568448e-13 9.67236713467e-12 -0.0 0.0
163.2 4.59212140079e-06 -1.88979311633e-19 -6.28318530718 -8.51170985546e-15 1.7670408391e-13 1.00935199175e-11 -0.0 0.0
165.6 6.52490735842e-06 -2.57008475313e-19 -6.28318530718 -3.70074341542e-15 1.78891861411e-13 1.05202350519e-11 -0.0 0.0
168.0 8.48245000862e-06 -1.92575647054e-19 -6.28318530718 -1.85037170771e-15 1.80806648887e-13 1.09518732642e-11 -0.0 0.0
170.4 1.04551422922e-05 -3.15932109815e-19 -6.28318530718 3.1456319031e-15 1.82471464794e-13 1.13878070007e-11 -0.0 0.0
