                time                   J                  Ks                   I                   V                   i                   U                   K                   r                   R                   g                   z                   B                   H
              3600.0       19.9715863712        21.033470106       19.2807243696        18.755613859       19.2208655352       18.3804682821       21.0695488834       18.9146564432       18.9842059673        18.591904323       19.3635910123       18.5292535017       20.5018657767
       3611.39964519       19.9672964559       21.0289498801       19.2767302025       18.7520588907       19.2169077499        18.377694476       21.0650233572       18.9109325438       18.9804203524       18.5885856709        19.359550228       18.5260534989       20.4974397865
       3622.83538813       19.9630062359       21.0244291922       19.2727359452        18.748504155       19.2129499012        18.374921432       21.0604973654       18.9072087536       18.9766348011       18.5852674203       19.3555093193       18.5228539798       20.4930133973
       3634.30734313       19.9587204342       21.0199122665       19.2687469684       18.7449560023       19.2089974401       18.3721572992        21.055975121       18.9034910434       18.9728551467       18.5819564577        19.351473554        18.519662103       20.4885910367
       3645.81562485       19.9544391976       21.0153991645       19.2647635289       18.7414148527       19.2050506371        18.369402785       21.0514566834       18.8997797707       18.9690817235       18.5786532907       19.3474431718       18.5164784196        20.484172801
       3657.36034834       19.9501582896       21.0108861976       19.2607806794       18.7378746877       19.2011044566       18.3666499202       21.0469383766       18.8960693313       18.9653090781       18.5753513172       19.3434133378       18.5132960323       20.4797547779
       3668.94162897       19.9458766678       21.0063724633       19.2567971969       18.7343340136       19.1971576536       18.3638967185       21.0424193013       18.8923583359       18.9615358592       18.5720488955       19.3393828576       18.5101132251        20.475336008
       3680.55958252       19.9416019701       21.0018647321       19.2528218404       18.7308032702       19.1932191254       18.3611566603       21.0379062082       18.8886565755       18.9577716216       18.5687573787       19.3353603129       18.5069418114        20.470923616
       3692.21432512        19.937333596       20.9973624876       19.2488539141       18.7272816473       19.1892881655       18.3584288126       21.0333985828       18.8849632801       18.9540156109       18.5654759083        19.331345022       18.5037809124         20.46651705
       3703.90597324       19.9330657768       20.9928606163       19.2448867874       18.7237611895       19.1853580357       18.3557027273       21.0288913266       18.8812710103       18.9502605744       18.5621957933       19.3273304917       18.5006214617       20.4621109302
       3715.63464377       19.9287997054       20.9883601995       19.2409217869       18.7202434018       19.1814300783       18.3529801639       21.0243855182       18.8775812054       18.9465079265       18.5589186245       19.3233180283         18.49746509       20.4577063842
       3727.40045393       19.9245382654       20.9838638897       19.2369621128       18.7167319965        19.177507534       18.3502658773        21.019883805       18.8738973746       18.9427611041       18.5556484115       19.3193107806       18.4943159623       20.4533061576
       3739.20352134       19.9202798643       20.9793700461       19.2330062386       18.7132255547       19.1735888846       18.3475586658        21.015384545       18.8702180563       18.9390186303       18.5523837974       19.3153072113       18.4911727542       20.4489086288
       3751.04396395        19.916023432       20.9748778798       19.2290527171       18.7097220326       19.1696726353       18.3448553094       21.0108869557       18.8665414415       18.9352787803       18.5491223988       19.3113059339       18.4880329063       20.4445128953
       3762.92190014       19.9117685551       20.9703870824        19.225101007       18.7062207148       19.1657582297       18.3421548324       21.0063907313       18.8628668795       18.9315409277       18.5458634146       19.3073064268       18.4848955767       20.4401186053
       3774.83744862       19.9075192892       20.9659008848       19.2211562342       18.7027283425       19.1618509262       18.3394669328       21.0018990838       18.8592004863       18.9278109615       18.5426144689       19.3033136462       18.4817688366        20.435729326
        3786.7907285       19.9032756699         20.96141935       19.2172183875       18.6992448071        19.157950707       18.3367912394       20.9974120765       18.8555421951       18.9240888285       18.5393753859       19.2993275893       18.4786524726       20.4313451102
       3798.78185925       19.8990308658       20.9569366771       19.2132793094        18.695759977       19.1540492511       18.3341140941       20.9929239324       18.8518826341       18.9203654346       18.5361349695       19.2953403079       18.4755347533       20.4269597356
       3810.81096073       19.8947862766       20.9524541104       19.2093406008       18.6922757551       19.1501481845       18.3314379463       20.9884358921       18.8482235896       18.9166425234       18.5328952864       19.2913533709       18.4724178281       20.4225745099
       3822.87815318       19.8905480293       20.9479770582       19.2054093142       18.6888005736       19.1462546734       18.3287736962       20.9839533476       18.8445729624       18.9129278021       18.5296655138       19.2873736848       18.4693112489       20.4181951353
       3834.98355722       19.8863151711       20.9435047604       19.2014842545        18.685332888       19.1423674936       18.3261192132       20.9794755431       18.8409293409       18.9092199078       18.5264439248       19.2834000923       18.4662131988       20.4138207724
       3847.12729385       19.8820830474       20.9390331415       19.1975600095       18.6818661324       19.1384811384       18.3234657944       20.9749984163       18.8372866069       18.9055128848       18.5232233186       19.2794273016       18.4631161543       20.4094471099
       3859.30948444       19.8778554868       20.9345653867       19.1936412414       18.6784062206       19.1346003732        18.320821615       20.9705251378       18.8336501912       18.9018119878       18.5200102887       19.2754598431       18.4600270518       20.4050775957
       3871.53025077       19.8736314008       20.9301004095       19.1897268715       18.6749521171       19.1307241216       18.3181858026       20.9660546211       18.8300190373       18.8981161542       18.5168038368       19.2714966355       18.4569449157       20.4007111414
       3883.78971499       19.8694120823       20.9256396025       19.1858180599       18.6715047726       19.1268535269       18.3155589023        20.961588261       18.8263941783       18.8944264465       18.5136047957       19.2675388602       18.4538705178       20.3963490992
       3896.08799964       19.8651916051       20.9211775006       19.1819082649        18.668056682       19.1229819697       18.3129315437        20.957120603       18.8227684867        18.890735873       18.5104051164       19.2635800744       18.4507955296       20.3919858173
       3908.42522764       19.8609730307       20.9167169119       19.1780008947       18.6646118132       19.1191129027       18.3103088232       20.9526544495       18.8191457089       18.8870481009       18.5072090906       19.2596236299       18.4477244109       20.3876242056
