                time               g_NTT           F160W_HST             J89_VLT               V_LCO             V_Swope             V_Swift              V_CTIO               V_VLT               V_NTT              K_CTIO           F606W_HST          H_Magellan             i_DECam            H_Gemini           Ks_Subaru     Ks_VLT_Magellan            Ks_VISTA             Ks_IRSF         r_skymapper           Ks_Gemini           r_LaSilla           H_LaSilla         r_Swope_LCO              r_T80s              H_IRSF               H_NTT            r_Gemini            R_MASTER          r_Gemini-S           K_LaSilla        Ks_Palomar5m             r_DECam           F110W_HST               r_VLT        r_PAN-STARRS              r_CTIO            K_Gemini               w_LCO               r_NTT           F625W_HST              J_IRSF              Ks_NTT         J1_Magellan            W2_Swift           J_LaSilla          J_Magellan            M2_Swift         J_VISTA_NTT            J_Gemini           F225W_HST               i_LCO        i_PAN-STARRS              i_Keck             i_Swope           i_LaSilla           F775W_HST              i_T80s            W1_Swift         i_skymapper            i_Gemini           F275W_HST               i_VLT               i_NTT           F814W_HST              i_CTIO           F336W_HST             U_Swift               U_NTT        z_PAN-STARRS               z_LCO            z_Subaru             u_DECam           z_LaSilla           F850W_HST         z_VLT_DECam               B_VLT             B_Swift            B_MASTER             B_Swope              B_CTIO        y_PAN-STARRS           g_LaSilla            z_Gemini g_Gemini_LCO1m_Keck             Y_DECam   F475W_HST_g_Swope              g_T80s             g_DECam               g_VLT             Y_VISTA         g_skymapper
              3600.0       21.0260233768       22.6073982309       26.0778199117       21.0676735625       21.0708549645       21.0782989249       21.0864831997       21.0914799757       21.0989951072       23.2221425615       21.1676376354       22.6986359655       21.5127705938       22.7117474321       23.2245491186       23.2273979832       23.2276648782       23.2287321395       21.2101111449        21.220754972       21.2216728217       22.7300009167       21.2253445807       21.2279151192       22.7334350258       22.7356478563       21.2372808326       21.2387501298       21.2418724775        23.246974415       23.2532274374       21.2611574488       22.1199461408       21.2769470333       23.2353023453       21.2868559557       23.2727540946       21.2244265898       21.3094025378          21.2286496       22.1732436008       23.2409691473       21.9613846343       21.1721482574       22.2285748275       22.2307678511       21.0521962711       22.2479695075        22.249329541       20.9884869909       21.4605395197       21.4628624537       21.4735680708       21.4780210668       21.4799789364       21.4833586115       21.4847808332       20.9022205128       21.5042875838        21.506233184       20.8767514108       21.5400395521       21.5466953279       21.5535139551       21.5915672669       20.8179041643       20.8203055117        20.823242298        21.660510564       21.6625414513       21.7017179195       20.8414137397       21.7125594365       21.7281700321       21.7433705599       20.8890838038       20.9041733994       20.9087847642       20.9094896268       20.9146111476       21.8177320743       20.9373718925       21.8321519296       20.9629242469       21.8596632671       20.9694940439       20.9712679312       20.9751542291        21.019518727       21.9090614208       21.0205433412
        3716.1659631       20.9854553391       22.5558071093       26.0225022484       21.0262944835       21.0294180829       21.0367288502       21.0447698879       21.0496807968        21.057068959       23.1692178479        21.124656941       22.6468076932       21.4661908427       22.6598863964       23.1716202205       23.1744641403       23.1747305725        23.175795984       21.1665566116       21.1770644886       21.1779707519       22.6780947967       21.1815963736       21.1841348132       22.6815204919       22.6837279121       21.1933849484        21.194836306       21.1979207011        23.194006843       23.2002491832       21.2169762424       22.0699627084       21.2325840811       23.1823548312       21.2423816075       23.2197427636       21.1806898859        21.264681961       21.1848601526       22.1230501635       23.1880118757       21.9120911663       21.1621206756       22.1781736866       22.1803586842       21.0378950711       22.1974979143       22.1988530518       20.9715863319       21.4143845951       21.4166879629       21.4273042414       21.4317204754       21.4336622546       21.4370142586       21.4384248751        20.881073277       21.4577747493       21.4597049333       20.8540329214       21.4932498275       21.4998555036       21.5066232592        21.544400789       20.7875924858       20.7889480317       20.7912632115       21.6128768148        21.614894524       21.6538228865       20.8074157206       21.6645977269       21.6801137638       21.6952238179       20.8524288685       20.8669229192       20.8713653433       20.8720448586       20.8769857845       21.7691641124       20.8990100192       21.7835061533       20.9238370867       21.8108722898       20.9302343055       20.9319624572       20.9357497855       20.9790875778       21.8600199382       20.9800904248
       3836.08040702       20.9451703568       22.5043120253       25.9672231515       20.9851843717       20.9882491651       20.9954244273        21.003319742       21.0081432941       21.0154022843       23.1163679928       21.0819174492       22.5950716517       21.4197904483       22.6081170669       23.1187661155        23.121605013       23.1218709751        23.122934508       21.1232333596       21.1336029386       21.1344974154       22.6262796617       21.1380761033       21.1405818899       22.6296968084       22.6318987316       21.1497144523       21.1511475607       21.1541933483       23.1411134587       23.1473449496       21.1730155037       22.0201015094        21.188438465       23.1294818186        21.198122677       23.1668049362       21.1371813172        21.220172565         21.14129793       22.0729755029        23.135128953       21.8629313537       21.1528858352        22.127887913        22.130064753       21.0243192326       22.1471405342       22.1484906955       20.9553693651       21.3684162695       21.3706997373       21.3812251528       21.3856039975        21.387529412        21.390853273       21.3922520864       20.8605405231       21.4114424108       21.4133569161       20.8319029501       21.4466358871       21.4531906121       21.4599066317       21.4974036991       20.7577413317       20.7580331574       20.7597160524       21.5654045452       21.5674088537       21.6060849243       20.7738148201       21.6167919644       21.6322118505       21.6472299087       20.8161250114       20.8300131724       20.8342837201       20.8349374477         20.83969464       21.7207419132       20.8609695603       21.7350048368       20.8850587284       21.7622233438       20.8912803679       20.8929619888       20.8966486264       20.9389418629       21.8111163055       20.9399225645
       3959.86428897       20.9051786394       22.4529174281       25.9119853268       20.9443530099       20.9473579632       20.9543953381       20.9621423686       20.9668770285       20.9740045771       23.0635967958       21.0394280962       22.5434321731       21.3735764406       22.5564437596        23.065990601       23.0688243963        23.069089881       23.0701515053       21.0801500209        21.090378882        21.091261366       22.5745598052       21.0947922991       21.0972648616       22.5779682646       22.5801646018       21.1062777953       21.1076923355       21.1106988408       23.0882980411       23.0945185105       21.1292835322       21.9703678026       21.1445183883       23.0766870962       21.1540873087       23.1139443703       21.0939094195       21.1758823638       21.0979714398       22.0230247705       23.0823241631       21.8139108094       21.1444676894       22.0777225527       22.0798910996       21.0114910729       22.0969023776         22.09824748       20.9398573738       21.3226417976        21.324905021       21.3353380017       21.3396788108       21.3415875776       21.3448828092       21.3462696155       20.8406417737        21.365297634       21.3671961898       20.8103803437       21.4002046507       21.4067075464       21.4133709389       21.4505827182        20.728366085       20.7275757685       20.7286153985       21.5181002313       21.5200909097        21.558510372       20.7406246203       21.5691484535       21.5844705471         21.59939504       20.7801844726       20.7934560939       20.7975517428        20.798179229        20.802749456       21.6724714651       20.8232618771        21.686653928       20.8466001566       21.7137223015       20.8526431257       20.8542773966       20.8578615707       20.8990918639       21.7623562656       20.9000500303
       4087.64246921       20.8654909233       22.4016279927       25.8567916121       20.9038106862       20.9067547335        20.913651765       20.9212478704       20.9258920554       20.9328858223       23.0109082471       20.9971982803        22.491893809       21.3275562134       22.5048710089       23.0132976653       23.0161262763       23.0163912757       23.0174509607       21.0373156742       21.0474013216       21.0482716002       22.5229397385       21.0517539317       21.0541926812       22.5263393676       22.5285300267       21.0630838658       21.0644795087       21.0674460357       23.0355645591       23.0417738294       21.0857890574       21.9207671161        21.100832479       23.0239746429       21.1102840684       23.0611650129       21.0508831696       21.1318197857       21.0548896298       21.9732033817       23.0296014801       21.7650354342       21.1368913192       22.0276829099       22.0298430238       20.9994339745       22.0467887109       22.0481286692       20.9250726655       21.2770688089       21.2793114326       21.2896503573       21.2939524638        21.295844291       21.2991103915       21.3004849802       20.8213975039       21.3193478496       21.3212301766       20.7894848735       21.3539633952        21.360413556       21.3670234019       21.4039449148       20.6994829023       20.6975914956       20.6979765643       21.4709706833       21.4729474947       21.5111058958       20.7078593941       21.5216738236        21.536896431       21.5517257395       20.7446201192       20.7572642305       20.7611818669       20.7617826447        20.766162577       21.6243590647       20.7858989149       21.6384596809       20.8084729211       21.6653753377       20.8143340342       20.8159201108       20.8193999947       20.8595483927       21.7137458566       20.8604836222
       4219.54383705       20.8261185052       22.3504486341       25.8016449848       20.8635682259       20.8664502675        20.873204422       20.8806468782       20.8851989553       20.8920565263       22.9583065399       20.9552378915       22.4404613441       21.2817375464       22.4534035818       22.9606914991       22.9635148408       22.9637793471       22.9648370609       20.9947398733       21.0046797314       21.0055375852       22.4714242037       21.0089704414       21.0113747699       22.4748148549       22.4769997409       21.0201420173       21.0215184234       21.0244442537       22.9829171827       22.9891150707       21.0425412653        21.871305264       21.0573898165       22.9713486394         21.06672197       23.0084710108       21.0081120147       21.0879937002       21.0120619158       21.9235170317       22.9769650795       21.7163114356       21.1301829924       21.9777745627        21.979926099       20.9881724421       21.9968050726       21.9981397987        20.911038628       21.2317053317       21.2339269892       21.2441701841       21.2484328997       21.2503074861       21.2535439373       21.2549060912       20.8028291953       21.2736008764       21.2754666864        20.769237288       21.3079197778       21.3143162687       21.3208716189       21.3574977262       20.6711087602       20.6680967653       20.6678156462       21.4240230664       21.4259857664       21.4638785093       20.6755341472       21.4743750496       21.4894964223       21.5042288748       20.7094454838       20.7214507794       20.7251871941       20.7257607818        20.729946988       21.5764113362       20.7488932393       21.5904286749       20.7706891725        21.617188948       20.7763651451        20.777902157       20.7812758668       20.8203228251       21.6652914302       20.8212347032
       4355.70144085       20.7870732772       22.2993845219         25.74654857        20.823637026       20.8264559269       20.8330645892        20.840350584       20.8448088677       20.8515277507       22.9057960818       20.9135573428       22.3891398107       21.2361286304       22.4020464915       22.9081765078       22.9109944925       22.9112584975       22.9123142075       20.9524326771       20.9622240866        20.963069289       22.4200181881       20.9664517675       20.9688210475       22.4233997089       22.4255787239       20.9774620981       20.9788189168       20.9817033086       22.9303602959       22.9365466123       20.9995498279       21.8219883646       21.0141999606       22.9188134809       21.0234105045       22.9558667234       20.9656059011       21.0444134462       20.9694982118       21.8739717134       22.9244193508       21.6677453465       21.1243702246       21.9280033802       21.9301461898       20.9777321629         21.94695729        21.948286693       20.8977797886       21.1865598188       21.1887601313       21.1989058678       21.2031284813       21.2049855157       21.2081917825       21.2095412773       20.7849593928       21.2280649466       21.2299139419       20.7496593688       21.2620818601       21.2684237152       21.2749235893       21.3112489822       20.6432615051       20.6391088486       20.6381495696       21.3772649237       21.3792132598       21.4168355956       20.6436646638       21.4272594739       21.4422778057       21.4569116753       20.6746748066       20.6860296285       20.6895815121        20.690127413       20.6941163541       21.5286352522        20.712258076       21.5425678354       20.7332617006       21.5691699697        20.738749144        20.740236193       20.7435017852       20.7814271365       21.6169996718       20.7823152358
        4496.2526222       20.7483677645       22.2484410963       25.6915056487       20.7840290909       20.7867836789       20.7932441481       20.8003707771       20.8047335264       20.8113111474       22.8533815084       20.8721676034       22.3379345037       21.1907380935       22.3508050131       22.8557573245       22.8585698617       22.8588333569        22.859887029       20.9104046823       20.9200448953       20.9208772121       22.3687269394       20.9242083808       20.9265419636        22.372099172       22.3742722146       20.9350544827       20.9363913516       20.9392335386       22.8778985087       22.8840730581       20.9568249342       21.7728228596       20.9712729819       22.8663737894         20.98035967       22.9033567351       20.9233753071       21.0010888614       20.9272089618        21.824573736       22.8719689105       21.6193440461        21.119481841       21.8783755411       21.8805094699       20.9681400677       21.8972514975       21.8985754834       20.8853218746       21.1416411744       21.1438197504       21.1538662417       21.1580480181       21.1598871788       21.1630627082       21.1643993118       20.7678117635       21.1827487316       21.1845806043       20.7307739889       21.2164581336       21.2227443546       21.2291877393       21.2652069301       20.6159599043        20.610645912       20.6089961392       21.3307042002       21.3326379114       21.3699849308       20.6122675538       21.3803348295       21.3952482532       21.4097817549       20.6403230787       20.6510153996       20.6543793374       20.6548970392       20.6586850635        21.481038156       20.6760073513       21.4948844554       20.6962039739       21.5213256029       20.7014993901       20.7029355491       20.7060910173       20.7428739401       21.5688776211        20.743737819
       4641.33915447       20.7100151658       22.1976240842       25.6365196667       20.7447570714        20.747446135       20.7537556197       20.7607198814       20.7649852971       20.7714189957        22.801067697       20.8310802338       22.2868509972       21.1455750286       22.2996846994        22.803438824       22.8062458199       22.8065087965       22.8075603958       20.8686670569       20.8781532326       20.8789724217       22.3175559812       20.8822513167       20.8845485319       22.3209187627       22.3230857281       20.8929301057       20.8942466502       20.8970458398       22.8255366718       22.8316992519       20.9143773231       21.7238155338       20.9286194945       22.8140344279       20.9375800043       22.8509458689        20.881431276       20.9580303146        20.885205173       21.7753297446       22.8196186154       21.5711147816       21.1155480394       21.8288975529       21.8310224411       20.9594243943        21.847694156       21.8490126276       20.8736918759       21.0969587826       21.0991152173       21.1090606152       21.1132007943       21.1150217487       21.1181659686       21.1194894412       20.7514111578       21.1376613702       21.1394758021       20.7126051727       21.1710575476       21.1772871017       21.1836729488       21.2193802612       20.5892237014         20.58272707       20.5803740919       21.2843492681       21.2862680843       21.3233347092       20.5813603029       21.3336092653       21.3484158494       21.3628471365       20.6064060894        20.616423494       20.6195959609       20.6200849346        20.623668272       21.4336277844       20.6401557364       21.4473862194       20.6595301826       21.4736634335       20.6646299587       20.6660142701       20.6690575418       20.7046765265       21.5209326952       20.7055157288
       4791.10738584       20.6720293952       22.1469395178       25.5815942444       20.7058343049       20.7084565916       20.7146122054       20.7214109959       20.7255772173       20.7318642423        22.748859781        20.790307424        22.235895161       21.1006490232       22.2486913981       22.7512261368       22.7540274945       22.7542899434       22.7553394336       20.8272315773       20.8365607767       20.8373665878       22.2665111306       20.8405922118       20.8428523656       22.2698642922       22.2720250719       20.8511004968       20.8523963293       20.8551517018       22.7732798901       22.7794302916        20.872218318       21.6749735375       20.8862506907       22.7618005147       20.8950826189       22.7986392011       20.8397854528       20.9152487392       20.8434984521       21.7262467417       22.7673735774       21.5230651913       21.1126004536        21.779576272       21.7816919546        20.951614751       21.7982920726       21.7996049293       20.8629181094       21.0525225383       21.0546564127       21.0644988044       21.0685965994       21.0703990032       21.0735113214       21.0748214147        20.735783673       21.0928124983       21.0946091598       20.6951781586       21.1258895376       21.1320613561       21.1383885805       21.1737781392       20.5630736726       20.5553724422       20.5523031513       21.2382089539       21.2401125957       21.2768935693       20.5509613257        21.287091372       21.3017891168       21.3161162777       20.5729404743       20.5822701407       20.5852474956       20.5857071947       20.5890819511       21.3864122933       20.6047186932       21.4000812274       20.6232552834       21.4261914581       20.6281556857       20.6294871599       20.6324160934       20.6668489068       21.4731727117       20.6676629609
